Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,Indication,,,,,,Price EUR,164.0,
,Evenity (romosozumab),Osteoporosis,,,,,,Shares,190.0,Q224
,Bimzelx (bimekizumab),Psoriasis,,,,,,MC EUR,31160.0,
,Rystiggo (rozanolixizumab),gMG,,,,,,Cash EUR,0.0,Q224
,Fintepla (fenfluramine),LGS,,,,,,Debt EUR,2614.0,Q224
,Zilbrysq (zilucoplan),gMG,,,,,,EV EUR,0.0,
,Cimzia (certolizumab pegol),RA,,,,,,,,
,Briviact (brivaracetam),Epilepsy,,,,,,,,
,Vimpat (lacosamide),Epilepsy,,,,,,,,
,Nayzilam (midazolam),Epilepsy,,,,,,,,
,Keppra (levetiracetam),Epilepsy,,,,,,,,
