Main,Unnamed: 1,Unnamed: 2
,Brand,Shingrix
,Generic,
,MOA,"Recombinant Adjuvanted vaccine, AS01B adjuvant, surface glycoprotein E antigen"
,Dosing,2 IM
,Indication,Prevention of Herpez Zoster reactivation in ages 50+
,Price,"$220 AWP 1/1/23, $206 1/1/22, $194 1/1/21, $182 1/1/20"
,Manufacturing,CHO-K1
,Clinical Trials,
,,Phase III n=14000 - NCT01165177
,,97% reduction in shingles
,,
,,Phase III n=13000 ages 70+
,,90% reduction in shingles
