Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
,,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Mavenclad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,147,157,197,192,189,212,234,201.60000000000002,198.45000000000002,222.60000000000002,245.70000000000002,211.68000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,531.0,693.0,,,,,,,,,
,Gonal-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,186,200,191,190,200,198,221,171,180,178.20000000000002,198.9,153.9,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,767.0,,,,,,,,,
,Rebif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,,227,247,234,244,201,217,249,219.6,180.9,195.3,224.1,197.64,,,,,,,,,,,,,,,,,,,,,,,,,,,1131.0,952.0,,,,,,,,,
,Glucophage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,217,213,209,225,218,228,237,202.5,196.20000000000002,205.20000000000002,213.3,182.25,,,,,,,,,,,,,,,,,,,,,,,,,,,903.0,864.0,,,,,,,,,
,Erbitux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,219,273,233,262,242,258,274,235.8,217.8,232.20000000000002,246.6,212.22000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,891.0,987.0,,,,,,,,,
,Merck Serono,,,1318.6,,1336.3,1450.5,1393.5,1573.7,1344.9,1450.5,1393.5,1573.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1701,0,1639,1788,1787,1876,1795,1924,2089,1838.35,1766.6,1898.9500000000003,2061.7000000000003,1822.7975,2047.7,2136.7,2133.4,2136.7,2114.1,,,,,,,,,,,,5754.0,5762.599999999999,4417.7,2967.2,1573.7,0.0,0.0,0.0,0.0,0.0,6639.0,7090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Consumer Health,,,122.9,,106.9,113.9,125,126.19999999999999,116.2,119.59500000000001,131.25,132.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.0,499.555,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,418,,432,449,454,498,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705.0,1833.0,,,,,,,,,
,Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,566,,646,631,608,627,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215.0,2512.0,,,,,,,,,
