Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
,,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2608095676172961,1.401103955841766,1.4779208831646726,1.4563017479300828,1.7189512419503208,1.5542778288868457,1.6451241950322,1.6839926402943883,2.206761729530819,2.3516559337626495,2.2688592456301757,2.3882244710211586,2.660533578656854,2.8445262189512417,3.157773689052439,3.008597286108556,3.2561020181692726,3.0339262304507817,3.34020925425483,3.202919922234361,1.7893284268629257,2.108095676172953,2.1276448942042325,1.8877644894204229,1.9740110395584187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,0.7323589743589743,,0.7681642765257993,0.7657608695652174,0.7458058164813979,0.7007227590541284,0.7505168311424893,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6422660045918095,0.6447852142821171,0.646273774576313,0.627122899926954,0.6345744559123051,0.6229516156441942,0.6114996289716895,0.6199847776448842,0.6400215982721382,0.6378567029357421,0.6363106014886342,0.624319140774837,0.6274358925033184,0.6309211707667445,0.6312181342152405,0.63,0.63,0.63,0.63,0.63,,,,,,,,,,,,,,,,,0.743256915294371,0.7501279474382267,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,,,0.22144933060174354,0.16819972826086937,0.03507937159030328,0.05637127818367493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16655988039938063,0.03719091504255423,0.09704714211707843,0.049694119795471,0.05956930681740169,0.18253987521545967,0.11780711025162449,0.13384799391105795,0.12274298056155519,0.1432970642578526,0.16789378394689214,0.11683927886459555,0.10445049343054436,0.0456994074340098,0.04850144687887559,0.055713353482621075,,,,,,,,,,,,,,,,,,0.11460714670110872,,,,,,,,,,,,,,,,,,,
,Serono Growth,,,,,,,,,0.00643568061064137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09517998779743753,0.07606263982102912,0.16899832120872982,-0.020069296375266554,-0.015821727019498688,-0.01301975051975035,-0.013068453805648472,-0.008460032093997372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Growth,,,,,,,,,0.0869971936389149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Millipore Growth,,,,,,,,,1.6660823838737948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14748944157672472,0.18957771787960476,0.1925266903914591,0.17973595976529766,0.14696151801414947,0.018598942598187396,0.02219486720381969,0.02351901522283595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Materials Growth,,,,,,,,,0.16107000569151975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11395348837209296,0.16336056009334898,0.10662393162393147,0.22899159663865554,0.22129436325678498,0.23099297893681037,0.24076076462637586,0.2340000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,1539.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,,,,,,,,,,2664.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A/R,,,,,,,,,2269.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4346,,,,,,,,,,4339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inventories,,,,,,,,,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860,,,,,,,,,,4513.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,337.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785,,,,,,,,,,1434.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tax Receivables,,,,,,,,,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,514.1999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intangibles,,,,,,,,,12082.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27614,,,,,,,,,,24556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,3173.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7946,,,,,,,,,,9854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equity,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Current Assets,,,,,,,,,159.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,,,,,,,,,,106.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pension,,,,,,,,,216.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Non Current,,,,,,,,,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tax Assets,,,,,,,,,607.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1360.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,22217.699999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50933,,,,,,,,,,49372.80000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,5281.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A/P,,,,,,,,,1066.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCL,,,,,,,,,1056.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,392.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provisions,,,,,,,,,404.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCL,,,,,,,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCP,,,,,,,,,486.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pension,,,,,,,,,1590.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tax Liabilities,,,,,,,,,1328.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liabilities,,,,,,,,,11638.699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S/E,,,,,,,,,10579.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28337,,,,,,,,,,29897.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+S/E,,,,,,,,,22217.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,278.7,,,,284.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,64.7,,,,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,214,,,,209.99999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
