Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
x,,,14.0,Vertex,VRTX,413,106554,12010,94544,Q125,258,2025-05-12 00:00:00,542.7605159732332,0.3141901113153345,0.03,-0.05,-0.05,28.5842131359673,26.382261512102286,30.950136182694322,20.369628260316887,17.609303815622336,-,12.82,13.89,11.84,17.99,20.81,-,,
x,,,15.0,GSK,GSK US,37.44,77444.64,-18131.100000000002,95575.74,Q125,4137,2025-05-28 00:00:00,,,,,,6.696425681285535,5.985147305812202,5.676331351458255,5.1683822372338035,4.676653562841112,-,3.45,3.86,4.07,4.47,4.94,5.35,,
x,,,15.0,GSK,GSK LN,1398,75185.838,-18131.100000000002,93316.93800000001,Q125,4137,2025-05-28 00:00:00,-,-,-,-,-,16.11190614316793,14.552689419635547,14.186584025430879,13.67070824268794,12.39377395628302,-,1.4,1.55,1.59,1.65,1.82,1.97,,
x,,,16.0,CSL,CSL AU,264.91,86117.87943963791,-10363,96480.87943963791,Q224,485.199307,2025-06-14 00:00:00,,,,,,29.67879601618526,22.020812105032253,21.45069399228061,18.688715536507633,16.339189261170194,-,6.7,9.03,9.27,10.64,12.17,13.65,,
x,,,17.0,Takeda,TAK,14.23,44653.74,-27370.051635111875,72023.79163511188,Q224,1569,2025-06-04 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,17.0,Takeda,4502 JP,4219,45573.913941480205,-27370.051635111875,72943.96557659208,Q224,1569,2025-06-04 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,18.0,Chugai,4519 JP,7303,82728.41602761445,5615.545611015491,77112.87041659896,Q224,1645.392637,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,1925,
x,,,19.0,Merck KgAa,MRK DE,108.45,47175.75,-7904.421000000001,55080.171,Q125,435,2025-06-14 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,20.0,Bayer,BAYN,27.4,29879.32188,-34255,64134.32188,Q125,982.42,2025-06-14 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,21.0,Regeneron,REGN,571.62,63564.144,15641,47923.144,Q125,111.2,2025-04-29 00:00:00,,,,,,,,,,,,,,,,,,1988,
x,,,22.0,Sun Pharmaceuticals,SUNP,1641.6,47706.824954572985,361.3410054512415,47345.48394912174,Q224,2399,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,1983,
x,,,23.0,Samsung Biologics,207940 KS,1048000,52051.88555478018,439.56163852058603,51612.32391625959,Q124,71.174,2024-09-01 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,24.0,Daiichi Sankyo,4568 JP,3620,47710.798490877794,6914.760757314974,40796.03773356282,Q224,1914.36284,2024-08-31 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,25.0,UCB,UCB,184.65,38942.685000000005,-2901.5400000000004,41844.225000000006,Q224,190,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,26.0,Teva,TEVA,15.9,18014.7,-16382,34396.7,Q125,1133,2025-05-16 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,27.0,Alnylam,ALNY,420.99,54859.62789,1606.6559999999997,53252.97189,Q125,130.311,2025-06-13 00:00:00,,,,,,,,,,,,,,,,,,2002,"Cambridge, MA"
x,,,28.0,Argenx,ARGX,693,41649.3,3374,38275.3,Q324,60.1,2025-04-10 00:00:00,,,,,,,,,,,,,,,,,,2008,
x,,,29.0,Baxter,BAX,22.66,11556.6,-10809,22365.6,Q224,510,2024-09-01 00:00:00,,,,,,,,,,,,,,,,,,1931,
x,,,30.0,Galderma,GALD SW,128.2,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,31.0,Viatris,VTRS,8.96,10516.190397440001,-13431,23947.19039744,Q224,1173.681964,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,1961,
x,,,32.0,BeiGene,ONC,307,32142.488312999998,1581.003,30561.485312999997,Q224,104.69865899999999,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,33.0,Astellas,4503 JP,1556.5,19531.133456110158,-5033.452667814114,24564.586123924273,Q224,1822.613,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,1940,
x,,,34.0,Otsuka,4578 JP,7364,27515.54037108434,6437.170395869191,21078.369975215148,Q224,542.725725,2024-09-04 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,35.0,Royalty Pharma,RPRX,37.75,22403.082837,-4677.359,27080.441837000002,Q224,593.459148,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,1996,
x,,,36.0,Biogen,BIIB,132.15,19293.9,-1500,20793.9,Q224,146,2025-03-05 00:00:00,,,,,,,,,,,,,,,,,,1978,"Cambridge, MA"
x,,,37.0,Celltrion,068270 KS,173900,17291.351129309143,-768.7808792742499,18060.132008583394,Q224,142.487097,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,1,3,38.0,Grifols,GRFS,10.8,7425.593006400001,-9653.06949,17078.6624964,Q424,687.5549080000001,2025-04-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,47.0,Insmed,INSM,112.31,19300.372757930003,299.97399999999993,19000.398757930005,Q224,171.849103,2024-10-18 00:00:00,,,,,,,,,,,,,,,,,,1999,
x,,,48.0,Incyte,INCY,92.4,17796.0576948,1549.043,16247.014694800002,Q224,192.598027,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,43.0,United,UTHR,421,19787,4335,15452,Q224,47,2024-09-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,44.0,Summit,SMMT,19.98,15274.308122280001,738.6,14535.70812228,Q224,764.4798860000001,2024-09-09 00:00:00,,,,,,,,,,,,,,,,,,,
