Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031,2032.0,2033.0,,,,,,,,,,,,,,,,,,,,,,,
,Briumvi,,,0.056,0.042,7.765,16.036,25.068,43.137,50.488,72.596,80,90,,,,,,,,,92.006,293.084,439.626,659.439,989.1585,1186.9902,1305.68922,1436.2581420000001,,,,,,,,,,,,,,,,,,,,,,,,,,
,License,,,0.038,0.038,0.038,0.036,140.747,0.834,12.986,0.87,,,,,,,,,,,141.65500000000003,13.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,0,0,0.094,0.08,7.803,16.072000000000003,165.81500000000003,43.971000000000004,63.474000000000004,73.46600000000001,80,90,,,,,,,,,233.66100000000003,306.94,439.626,659.439,989.1585,1186.9902,1305.68922,1436.2581420000001,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,0.002,0.003,0.857,1.911,3.509,7.855,5.441,8.304,,,,,,,,,,,14.132,13.745000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,0,0,0.092,0.077,6.946,14.161000000000003,162.30600000000004,36.116,58.033,65.162,,,,,,,,,,,219.52900000000002,293.195,395.66339999999997,593.4951,890.24265,1068.29118,1175.120298,1292.6323278000002,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,20.801,5.753,15.87,28.122,14.753,17.449,32.722,17.556,,,,,,,,,,,76.194,50.278000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,14.254,23.882,28.068,30.715,32.769,31.152,24.581,38.79,32.769,31.152,,,,,,,,,122.704,127.29199999999999,127.29199999999999,127.29199999999999,127.29199999999999,127.29199999999999,127.29199999999999,127.29199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,0,0,35.055,29.635,43.938,58.837,47.522,48.601,57.303,56.346000000000004,32.769,31.152,,,,,,,,,198.898,177.57,127.29199999999999,127.29199999999999,127.29199999999999,127.29199999999999,127.29199999999999,127.29199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,0,0,-34.963,-29.558,-36.992000000000004,-44.676,114.78400000000005,-12.485,0.730000000000004,8.816000000000003,,,,,,,,,,,20.63100000000003,115.625,268.3714,466.2031,762.95065,940.9991799999999,1047.8282980000001,1165.3403278000003,,,,,,,,,,,,,,,,,,,,,,,,,,
