Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2024.0,,,
,Cancer,7120,7142,8556,8240,,,,,,,,,,,,,,
,WES,3136,3472,2922,2606,,,,,,,,,,,,,,
,WGS Tests,8705,11855,13216,15663,,,,,,,,,,,,,,
,Exome tests,,,,,,,19262,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,WGS Revenue,22.4,28.7,34,39.2,,,,,,,,,,,,,,
,WES Revenue,2.1,2,1.7,1.7,,,60,,,,,,,,,,,
,Cancer Revenue,4.3,3.8,4.5,5.5,,,,,,,,,,,,,,
,Other Revenue,10.6,8.6,8.9,9.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,  ARPT,,,,,,,3114.941335271519,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Diagnostic,41.85,46.635,51.955,,61.104,69.439,77.418,,,,,,,,,,,
,Other,1.289,2.071,1.348,,1.318,1.075,-0.544,,,,,,,,,,,
,Revenue,43.139,48.705999999999996,53.303,,62.422,70.514,76.87400000000001,76.18999999999997,,,,,,,286.0,400.4,560.56,784.7839999999999
,COGS,27.903,29.949,28.044,,25.011,27.562,29.045,,,,,,,,108.68,152.152,213.01279999999997,298.21791999999994
,Gross Profit,15.236000000000004,18.756999999999994,25.258999999999997,,37.411,42.952,47.82900000000001,,,,,,,,177.32,248.248,347.5472,486.56607999999994
,R&D,14.592,17.138,14.288,,11.567,10.902,11.665,11.665,,,,,,,45.799,50.3789,55.416790000000006,60.95846900000001
,S&M,13.452,15.182,16.763,,16.085,16.585,17.025,17.025,,,,,,,66.72,73.39200000000001,80.73120000000002,88.80432000000002
,G&A,43.689,37.341,26.099,,22.445,25.17,26.145,26.145,,,,,,,99.905,109.89550000000001,120.88505000000002,132.97355500000003
,Operating Expenses,71.733,69.661,57.150000000000006,,50.097,52.657000000000004,54.834999999999994,,,,,,,,212.424,233.6664,257.03304,282.73634400000003
,Operating Income,-56.497,-50.90400000000001,-31.89100000000001,,-12.686,-9.705000000000005,-7.005999999999986,,,,,,,,-35.10400000000001,14.58159999999998,90.51415999999995,203.8297359999999
,Interest Income,1.9440000000000002,0,-0.08099999999999996,,-0.597,-0.894,0.30099999999999993,,,,,,,,,,,
,Pretax Income,-54.553,-50.90400000000001,-31.97200000000001,,-13.283,-10.599000000000006,-6.704999999999986,,,,,,,,,,,
,Taxes,-0.147,0,0,,-0.082,0.19,0,,,,,,,,,,,
,Net Income,-54.406,-50.90400000000001,-31.97200000000001,,-13.200999999999999,-10.789000000000005,-6.704999999999986,,,,,,,,,,,
,EPS,-2.711900565972043,-2.002647063197395,-1.2397655458018184,,-0.5065196029340611,-0.40532790742188896,-0.24745362652608346,,,,,,,,,,,
,S/O,20.061945,25.418358,25.788747,,26.06217,26.617955,27.095986,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.44699691694290533,0.44774771075432196,0.44220775566103243,,,,,,,,,0.3999999999999999,0.3999999999999999,0.3999999999999999
,Gross Margin,0.35318389392429134,0.3851065577136286,0.4738757668423916,,0.5993239562974593,0.6091272655075588,0.6221739469781721,,,,,,,,,,,
