Main,Unnamed: 1,Unnamed: 2
,Brand,ARO-ANG3
,Generic,zodasiran
,Indication,Dyslipidemia
,MOA,ANGPTL3
,Clinical Trials,
,,"Phase IIb ""ARCHES-2"" - NCT04832971"
,,
,,"Phase II ""GATEWAY"" HoFH - NCT05217667"
,,
,,
,,"Phase II ""ARCHES-2"""
