Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Investee,Date,Round,Raised,Other Investors,Estimated,Profile,Site
,Kiosk,2024-05-02 00:00:00,Seed,10,"Electric Capital, Variant, Union Square Ventures",1.6666666666666667,Farcaster tool!?,www.kiosk.app
,Exowatt,2024-04-22 00:00:00,Seed,20,"Sam Altman, Atomic",6.666666666666667,Battery system,www.exowatt.com
,NEBRA Labs,2024-04-17 00:00:00,Seed,4.5,"Nascent, Bankless, Public Works, Dialectic",1,ZKP aggregation,www.nebra.one
,OpenTrade,2024-04-09 00:00:00,Seed,3.2,"Ryze Labs, Plassa Capital, Draper Dragon, CMCC Global",1,Financial/Treasury tools,www.open-trade.io
,Kiki World,2024-04-09 00:00:00,Series A,7,"Estee Lauder, Double Down, 2 Punks, Advancit, G money, Orange DAO, Red DAO",1,Beauty platform,www.kiki.world
,Sablier,2024-03-22 00:00:00,Seed,4.5,"WAGMI Ventures, GD1, Founderheads, Fenbushi, DCV Capital, Cyfrin, A.Capital",1,"Vesting, payroll, airdrop tools",www.sablier.com
,Espresso Systems,2024-03-21 00:00:00,,28,,,,
,EigenLabs,2024-02-22 00:00:00,,100,,,,
,Scene Infrastructure Company,2024-01-23 00:00:00,,3,,,,
,Focus,2024-01-17 00:00:00,,20,,,,
,FORMLESS,2023-12-19 00:00:00,,2.2,,,,
,Dynamic Labs,2023-12-13 00:00:00,,13.5,,,,
,Tack,2023-12-01 00:00:00,,2.5,,,,
,EthXY,2023-11-15 00:00:00,,1.6,,,,
,Stackr Labs,2023-11-08 00:00:00,,5,,,,
,Pimlico,2023-11-07 00:00:00,,4,,,,
,IMB DAO,2023-10-16 00:00:00,,0.5,,,,
,IYK,2023-09-28 00:00:00,,16.8,,,,
,Freatic,2023-09-21 00:00:00,,3.6,,,,
,Bastion,2023-09-18 00:00:00,,25,,,,
,Story Protocol,2023-09-06 00:00:00,,25,,,,
,Linera,2023-08-16 00:00:00,,6,,,,
,Narval,2023-07-10 00:00:00,,4,,,,
,Gensyn,2023-06-12 00:00:00,,43,,,,
,Worldcoin,2023-05-25 00:00:00,,115,,,,
,Tools for Humanity,2023-05-25 00:00:00,,115,,,,
,Story Protocol,2023-05-17 00:00:00,,29.3,,,,
,LayerZero Labs,2023-04-04 00:00:00,,120,,,,
,Capsule Wallets,2023-03-15 00:00:00,,,,,,
,Here Not There Labs,2023-02-23 00:00:00,,25.5,,,,
,Stelo Labs,2023-02-16 00:00:00,,6,,,,
,Alongside,2023-02-15 00:00:00,,11,,,,
,Levels,2023-01-31 00:00:00,,7,,,,
,Plai Labs,2023-01-19 00:00:00,,32,,,,
,Shield,2023-01-13 00:00:00,,2.1,,,,
,Shibuya,2022-12-08 00:00:00,,6.9,,,,
,Uniswap,2022-10-13 00:00:00,,165,,,,
,Rye,2022-10-11 00:00:00,,14,,,,
,Potrero Labs,2022-09-30 00:00:00,,,,,,
,Mysten Labs,2022-09-08 00:00:00,,300,,,,
,CreatorDAO,2022-08-09 00:00:00,,20,,,,
,Halliday,2022-08-04 00:00:00,,6,,,,
,VeeFriends,2022-07-28 00:00:00,,50,,,,
,Morpho Labs,2022-07-12 00:00:00,,18,,,,
,Clockwork Labs,2022-06-16 00:00:00,,22,,,,
,Entropy,2022-06-08 00:00:00,,25,,,,
,Adim,2022-06-07 00:00:00,,5,,,,
,Dzone Finance,2022-06-04 00:00:00,,2,,,,
,Flowcarbon,2022-05-24 00:00:00,,70,,,,
,Tally Labs,2022-05-18 00:00:00,,12,,,,
,Lightspark,2022-05-12 00:00:00,,,,,,
,Yuga Labs,2022-03-12 00:00:00,,450,,,,
,NEAR,2022-01-13 00:00:00,,150,,,,
,Goldfinch,2022-01-07 00:00:00,,25,,,,
,Goldfinch,2021-12-29 00:00:00,,,,,,
,Kickstarter,2021-12-15 00:00:00,,100,,,,
,Royal,2021-11-22 00:00:00,,55,,,,
,XMTP,2021-08-31 00:00:00,,20,,,,
,Eco,2021-07-27 00:00:00,,60,,,,
,Goldfinch,2021-05-17 00:00:00,,11.7,,,,
,Warbler Labs,2021-05-13 00:00:00,,,,,,
,Eco,2021-03-05 00:00:00,,26,,,,
,NEAR,2020-05-05 00:00:00,,21.6,,,,
,Handshake,2020-03-26 00:00:00,,10.2,,,,
,Arweave,2020-03-05 00:00:00,,8.3,,,,
,Arweave,2019-11-06 00:00:00,,5,,,,
,Celo,2019-04-02 00:00:00,,30,,,,
,Forte,2019-03-12 00:00:00,,,,,,
,dYdX,2018-10-19 00:00:00,,10,,,,
,Oasis Labs,2018-07-09 00:00:00,,45,,,,
