Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Name,,,,,,,,,,,,,Price,0.19,
,TNX-102,fibromyalgia,,,,,,,,,,,,Shares,22.004159,Q224
,TNX-1300,cocaine esterase,,,,,,,,,,,,MC,4.1807902100000005,
,TNX-1500,CD40L mab,,,,,,,,,,,,Cash,4.156,Q224
,TNX-4200,antiviral,,,,,,,,,,,,Debt,8.488,Q224
,Zembrace,sumatriptan injection,,,,,,,,,,,,EV,8.51279021,
,Tosymra,sumatriptan nasal spray,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,6/30/23: Acquired Zembrace and Tosymra from Upsher Smith for $26.5m,,,,,,,,
