Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,% of rev,Margin,,,Price,541.28,
,Life Sciences,0.3000911577028259,0.4030984204131227,,,Shares,391.788962,Q222
,Instruments,0.14649042844120327,0.21406347230864967,,,MC,212067.52935136,
,Diagnostics,0.10036463081130355,0.22070844686648503,,,Cash,1888.0,Q222
,Services,0.5047402005469462,0.12479682138342063,,,Debt,30260.0,Q222
,,,,,,EV,240439.52935136,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Acquisitions,,,,,,,
,"Novasep viral - 1/15/21, $830m",,,,,,,
,"Mesa Biotech - 2/25/21, $410m",,,,,,,
,"CSL facility - 9/30/21, $560m guaranteed lease payments",,,,,,,
,"PPD - 12/8/21, $16B",,,,,,,
,"PeproTech - 12/30/21, $1.86B",,,,,,,
