Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Name,Company,Prior Win,Status
,Eddie Lampert,Sears Holdings,,Disaster
,Patrick Soon-Shiong,ImmunityBio,,
,Al Mann,MannKind,Advanced Bionics,Amazing
,Ryan Cohen,,,
,Palmer Luckey,Anduril,Oculus,Amazing
,Dustin Moskovitz,Asana,Facebook,Meh
,Randal J. Kirk,Intrexon,New River,Disaster
