Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Assessments & Qualifications,,,,,,,,Price,13.45,
,,WAIS,,,,,,,Shares,687.0,Q224
,,K-12,,,,,,,MC,9240.15,
,,,,,,,,,Cash,618.0,Q224
,,,,,,,,,Debt,1613.0,Q224
,,,,,,,,,EV,10235.15,
