Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
- USA,36,36,30,27,24,26,25,29,23,22.1,22.1,21.2,,196.0,129.0,104.0,88.4,79.56,71.60399999999998,64.44359999999999,57.99923999999999,52.199315999999996
- Europe,42,41,39,40,40,43,38,39,36,38,38,40,,188.0,162.0,160.0,152.0,136.8,123.12,110.80800000000002,99.72720000000002,89.75448000000003
- RoW,11,16,13,18,15,16,16,19,15,16.5,16.5,18,,48.0,58.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
,89,93,82,85,79,85,79,87,74,76.6,76.6,79.2,,432.0,349.0,330.0,306.4,282.36,260.724,241.2516,223.72644000000003,207.953796
,,,,,,,,,,,,,,,-0.19212962962962965,-0.054441260744985676,-0.07151515151515153,-0.0784595300261095,-0.07662558436039102,-0.07468587471809263,-0.07264266848385659,-0.07049968702849785
SMART study halted because of increased deaths,,,,,,,,,,,,,,,,,,,,,,
