Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,850 MHZ,,,,,,,,,,Price,29.62,
,,,,,,,,,,,Shares,269.39300000000003,Q224
,,,,,,,,,,,MC,7979.420660000001,
,,,,,,,,,,,Cash,285.085,Q224
,,,,,,,,,,,Debt,199.804,Q224
,,,,,,,,,,,EV,7894.139660000001,
,,,,,,,,,,,,,
,,,,,,,,,,,Founded: May 2017,,
