Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-31 00:00:00
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,FY13,FY14,FY15,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24
,Revenue,,,,,,,98488.2,,,107639,110375,,,112999,160804,273920,284870,315784,264895,290659,328375,334981,386545,,498510.4
,COGS,,,,,,,25218.6,,,29002,27080.7,,,,,,,,,,,,,,106626.1
,Gross Profit,,,,,,,73269.6,,,78637,83294.3,,,,,,,,,,,,,,391884.30000000005
,SG&A,,,,,,,43977.8,,,51228.4,50461.899999999994,,,,,,,,,,,,,,248472.4
,Operating Profit,,,,,,,29291.800000000003,,,27408.6,32832.40000000001,,,,,,,,,,,,,,143411.90000000005
,Finance,,,,,,,-359.5,,,-136.9,-193.9,,,,,,,,,,,,,,2384.7
,Pretax Income,,,,,,,28932.300000000003,,,27271.699999999997,32638.500000000007,,,,,,,,,,,,,,141027.20000000004
,Taxes,,,,,,,1977.8,,,1889.9,1522.6,,,,,,,,,,,,,,14394.5
,Net Income,,,,,,,26954.500000000004,,,25381.799999999996,31115.90000000001,,,,,,,,,,,,,,126632.70000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,,,,,,49593.3,121349.8
,CapEx,,,,,,,,,,,,,,,,,,,,,,,,20855.8,22018.1
,FCF,,,,,,,,,,,,,,,,,,,,,,,,28737.500000000004,99331.70000000001
