2. Product Sales Analysis (vs PY Reported Actual) (continued)                     Sales amount includes royalty income and service income,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Table of Contents
,■ Q3,,,,,,,,,,,,,,
,,Reported,,,,,,,,,,,,,
,,FY20 Q3,FY21 Q3,YOY,US,YOY,,,,,,,Ex-US,YOY,
,(Bn JPY),,,,,,Japan,YOY,EUCAN,YOY,GEM*5,YOY,,,
,ICLUSIG *2,9.4,8.8,-0.062000000000000006,7.2,-0.096,,,,,,,1.6,0.13,
,VECTIBIX,6.5,6.6,0.017,,,6.6,0.017,,,,,,,
,ALUNBRIG,2.2,3.9,0.756,2,0.445,0.3,-,1,0.816,0.5,1.189,,,
,Others,1.7,5.8,2.3480000000000003,0.6,-,4.5,3.1780000000000004,0.3,0.025,0.5,0.331,,,
Neuroscience,,107.3,128.9,0.201,99.5,0.209,9.3,-0.113,17.6,0.36700000000000005,2.5,0.518,,,
,VYVANSE/ELVANSE,69.8,85.7,0.228,70.3,0.196,0,0.843,13.1,0.384,2.3,0.469,,,
,TRINTELLIX,17.7,23,0.29600000000000004,21.4,0.251,1.6,1.5150000000000001,,,0,-,,,
,INTUNIV,5.9,5,-0.139,0.1,0.392,1.7,-0.523,3,0.429,0.2,1.2209999999999999,,,
,ADDERALL XR,4.4,6.3,0.444,5.7,0.443,0,-,0.6,0.457,0,-,,,
,ROZEREM,3.6,3.1,-0.126,-0.1,-,3.2,-0.02,0,-,0,1.84,,,
,Others *6,6,5.7,-0.04,2,-0.018000000000000002,2.8,-0.073,0.9,0.019,0,-1,,,
Others,,153.5,122.3,-0.203,,,,,,,,,,,
,AZILVA-F *3,22.9,19.7,-0.138,0,-,19.7,-0.138,0,-,0,-,,,
,LOTRIGA,8.8,8.7,-0.013000000000000001,,,8.7,-0.013000000000000001,,,,,,,
,AIPHAGAN,4.6,3.6,-0.207,0,-,3.6,-0.207,0,-,0,-,,,
,FOSRENOL *2,3.7,3.2,-0.136,-0.0,-,,,,,,,3.2,0.024,
,ACTOVEGIN,3.4,4.3,0.294,0,-,0,-,0.2,0.113,4.2,0.303,,,
,*1 PDT products,,,,,,,,,,,,,,
,*2 License-out product : Regional breakdown is not available due to contract.,,,,,,,,,,,,,,
,*3 The figures include the amounts of fixed dose combinations.,,,,,,,,,,,,,,
,"*4 GEM: Growth and Emerging Markets, which include Asia (excluding Japan), Latin America, Russia/CIS, Middle East, Oceania and Africa",,,,,,,,,,,,,,
,"*5 Other in PDT Immunology include ARALAST, GLASSIA, CEPROTIN, ANTITHROMBIN III, KENKTSU-NONTHRON and others",,,,,,,,,,,,,,
,"*6 Others in Neuroscience include REMINYL, COPAXONE, AZILECT, MYDAYIS, BUCCOLAM, EQUASYM and CARBATROL",,,,,,,,,,,,,,
