Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,OpEx,,,,,10343,11990,13487,13841,10264,11076,10950,11539,11012,12679,11879,12141,10738,11589,11879,12141,,,,,,,,,,,,,,35003.0,38256.0,35820.0,49661.0,43829.0,47711.0,46347.0,,,,,,,,,,,,,,,,
,OpInc,,,,,2789,3463,2308,1958,2601,3400,5317,4593,4980,5210,6274,5392,5484,5944,6033.440000000002,6033.52,,,,,,,,,,,,,,15530.0,6307.0,8560.0,10518.0,15911.0,21856.0,23494.960000000006,,,,,,,,,,,,,,,,
,Interest,,,,,410,457,585,641,744,151,-4770,1781,2595,1369,1905,-2527,1246,771,1905,-2527,,,,,,,,,,,,,,11795.0,-6647.0,1452.0,2093.0,-2094.0,3342.0,1395.0,,,,,,,,,,,,,,,,
,Pretax,,,,,3199,3920,2893,2599,3345,3551,547,6374,7575,6579,8179,2865,6730,6715,7938.440000000002,3506.5200000000004,,,,,,,,,,,,,,27325.0,-340.0,10012.0,12611.0,13817.0,25198.0,24889.960000000006,,,,,,,,,,,,,,,,
,Taxes,,,,,913,1372,0,650,525,-86,693,1421,1750,1369,1498,266,1282,1369,1498,266,,,,,,,,,,,,,,4743.0,1948.0,2285.0,2935.0,2553.0,4883.0,4415.0,,,,,,,,,,,,,,,,
,Net Income,,,,,2286,2548,2893,1949,2820,3637,-146,4953,5825,5210,6681,2599,5448,5346,6440.440000000002,3240.5200000000004,,,,,,,,,,,,,,22582.0,-2288.0,7727.0,9676.0,11264.0,20315.0,20474.960000000006,,,,,,,,,,,,,,,,
,EPS,,,,,0.8231904933381347,0.9275573352748453,1.0413966882649388,0.6921164772727273,1.0191543187567762,1.2938456065457133,-0.052329749103942655,1.7682970367725812,2.053225237927388,1.8383909668313339,2.3475052705551653,0.9183745583038869,1.9346590909090908,1.886379675370501,2.27256175017643,1.1434438955539874,,,,,,,,,,,,,,,,2.7922187424716935,3.481201654973916,4.034022741516698,7.161364237243324,7.2362466866937645,,,,,,,,,,,,,,,,
,Shares,,,,,2777,2747,2778,2816,2767,2811,2790,2801,2837,2834,2846,2830,2816,2834,2834,2834,,,,,,,,,,,,,,,,2767.3333333333335,2779.5,2792.25,2836.75,2829.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.009845738252648006,-0.054322169059011216,0.019391623069452635,-0.0003324468085106336,0.09619513568688176,0.14871656491381935,0.05860479409956976,0.056655682196087964,0.011848189057282354,-0.003670425182053072,0,0,,,,,,,,,,,,,,,,,,-0.0065706505586659025,0.0883201940570042,0.0018128055394581732,,,,,,,,,,,,,,,,
