Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Name,Indication,MOA,Phase,Economics,,,,,,,,Price,7.74,
,vepdegestrant,ER+ BC,ER PROTAC,III,PFE,,,,,,,,Shares,72.99139,Q125
,ARV-102,Parkinson's,LRRK2,I,,,,,,,,,MC,564.9533586,
,ARV-393,B-Cell Lymphomas,BCL6,I,,,,,,,,,Cash,954.3,Q125
,,,KRAS G12D,PC,,,,,,,,,Debt,0.5,Q125
,AR-V7,,AR PROTAC,PC,NVS,,,,,,,,EV,-388.84664139999995,
,ARV-766,,AR PROTAC,,NVS,,,,,,,,,,
,ARV-110,mCRPC,,,,,,,,,,,CEO: John Houston,,
,,,,,,,,,,,,,CMO: Noah Berkowitz,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,5/16/24: Phase 1n combination data update.,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,1/10/25: 2025 preview,,,,,,,,
