Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Games,,,,,,,,,Price HKD,629.0,
,Honour of Kings - 100m DAUs?,,,,,,,,,Shares,9097.0,Q222
,Peacekeeper Elite,,,,,,,,,MC HKD,5722013.0,
,League of Legends: Wild Rift,,,,,,,,,Cash CNY,74592.0,Q225
,Fight of the Golden Spatula,,,,,,,,,Debt CNY,0.0,Q225
,Moonlight Blade Mobile,,,,,,,,,EV HKD,5647421.0,
,Call of Duty Mobile,,,,,,,,,,,
,Valorant,,,,,,,,,,,
,Clash of Clans,,,,,,,,,,,
,PUBG Mobile,,,,,,,,,,,
,Return to Empire,,,,,,,,,,,
,Dune Spice Wars,,,,,,,,,,,
,Apex Legends Mobile (EA),,,,,,,,,,,
,,,,,,,,,,,,
,Other,,,,,,,,,,,
,Sogou,,,,,,,,,,,
,WeChat,,,,,,,,,,,
,Mini Programs,,,,,,,,,,,
,Tencent Meeting,,,,,,,,,,,
,WeCom,,,,,,,,,,,
,Tencent News,,,,,,,,,,,
,Tencent Video,,,,,,,,,,,
,Weixin,,,,,,,,,,,
,QQ,,,,,,,,,,,
,VOD PaaS,,,,,,,,,,,
