Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,Price,25.0,
,,,,,,,,,,,,Shares,136.415418,Q224
,,,,,,,,,,,,MC,3410.3854499999998,
,,,,,,,,,,,,Cash,542.8,Q224
,,,,,,,,,,,,Debt,4057.6000000000004,Q224
,,,,,,,,,,,,EV,6925.18545,
