Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423
,  US,,,,,4892,4355,,,6097,5846,,,,,,
,North America,,,,,5101,4529,,,6323,6032,,,,,,
,Europe,,,,,2785,2695,,,3050,2551,,,,,,
,  China,,,,,775,794,,,910,1001,,,,,,
,Asia-Pac,,,,,1709,1749,,,2064,2042,,,,,,
,Other,,,,,311,300,,,381,345,,,,,,
,,,,,,,,,,,,,,,,,
,Life Sciences,,,,,4203,3292,,,4231,3292,,,,,,
,Analytical Instruments,,,,,1387,1607,,,1518,1607,,,,,,
,Diagnostics,,,,,1615,1101,,,1482,1101,,,,,,
,Lab Products & Biopharma Services,,,,,3597,5537,,,5442,5537,,,,,,
,,,,,,,,,,,,,,,,,
,Consumables,,,,,5964,5372,,,6110,4993,,,,,,
,Instruments,,,,,1892,1842,,,1907,2010,,,,,,
,Product,4630,,,,7856,7214,,,8017,7003,,,,,,
,Services,1600,,,,2050,2059,,,3801,3967,,,,,,
,Revenue,6230,,,,9906,9273,,,11818,10970,,,,,,
,COP,2340,,,,3327,3352,,,3555,3516,,,,,,
,COS,1150,,,,1370,1397,,,2799,2855,,,,,,
,COGS,3490,,,,4697,4749,,,6354,6371,,,,,,
,Gross Margin,2740,,,,5209,4524,,,5464,4599,,,,,,
,SG&A,1551,,,,1826,1899,,,2277,2209,,,,,,
,R&D,245,,,,320,343,,,364,365,,,,,,
,Operating Expenses,1796,,,,2146,2242,,,2641,2574,,,,,,
,Operating Income,944,,,,3063,2282,,,2823,2025,,,,,,
,Interest Income,-78,,,,-296,-114,,,-281,-84,,,,,,
,Pretax Income,866,,,,2767,2168,0,0,2542,1941,,,,,,
,MI+Taxes,40,,,,416,221,,,325,253,,,,,,
,Net Income,826,,,,2351,1947,0,0,2217,1688,,,,,,
