Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Brand,Generic,MOA,Company,PASI100,PASI90,PASI75,Approved
,Tremfya,guselkumab,p19 mab,JNJ,,70-84%,,
,Stelara,ustekinumab,p40 mab,JNJ,0.21,50%-56%,68-74%,
,Enbrel,etanercept,TNF-alpha soluble receptor,AMGN/PFE,,,44-57%,
,Humira,adalimumab,TNF-alpha mab,ABBV,,47-50%,,
,Simponi,,,,,,,
,Cosentyx,secukinumab,IL-17A mab,,,69-70%,77-82%,
,Sotyktu,deucravacitinib,Tyk2,BMY,,,0.69,
,Otezla,apremilast,PDE4,AMGN,,,0.38,
,"JNJ-2113, fka JNJ-77242113/PN-235",icotrokinra,IL-23R antagonist,JNJ/PTGX,23-41%,0.496,65-79%,
,,tapinarof,,,,19-21%,36-48%,
,Bimzelx,bimekizumab,,,0.59,82-91%,0.77,
,Taltz,,,,,,,
,Skyrizi,risankizumab,p19 mab,ABBV,,0.73,,
,Xeljanz,tofacitinib,JAK inhibitor,,,0.39,0.59,
,,mirikizumab,p19 mab,LLY,,81-82%,,
