Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,Amortization,,,,,,,,,1.056,,,,,,,,,,,-7.217,-6.187,,,,,,,,,
,SBC,,,,,,,,,67.134,,,,,,,,,,,98.893,95.911,,,,,,,,,
,Amortization,,,,,,,,,5.993,,,,,,,,,,,5.334,3.803,,,,,,,,,
,DT,,,,,,,,,-32.432,,,,,,,,,,,-25.242,-26.539,,,,,,,,,
,FX,,,,,,,,,-0.582,,,,,,,,,,,-1.063,1.082,,,,,,,,,
,Bad Debt,,,,,,,,,-0.025,,,,,,,,,,,0.063,-0.152,,,,,,,,,
,WC,,,,,,,,,329.762,,,,,,,,,,,-171.83100000000002,522.6519999999999,,,,,,,,,
,CFFO,,,,,,,,,481.02699999999993,,,,,,,,,,,57.769000000000005,763.5159999999998,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,,,,,,,,,,,,-86.703,-272.378,,,,,,,,,
,CFFF,,,,,,,,,,,,,,,,,,,,-10.484,3.828,,,,,,,,,
,FX,,,,,,,,,,,,,,,,,,,,-0.807,-1.257,,,,,,,,,
,CIC,,,,,,,,,,,,,,,,,,,,-40.224999999999994,493.7089999999999,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customers,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employees,,,,,,,,,,,,,,,,,,,6744,7172,,,,,,,,,,
