Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,"Epkinly, Tepkinly",
,Generic,epcoritamab,
,Indication,r/r (3L+) FL,
,Approval,"FDA approval 2024, CHMP positive opinion, EC approval 2024",
,Administration,subcutaneous,
,Mechanism,bispecific,
,Economics,GMAB,
,Clinical Trials,,
,,"Phase I/II ""EPCORE NHL-1"" n=157 r/r FL - NCT03625037",
,,"GCT3013-01, single-arm, open-label, monotherapy",
,,3 median prior therapies,
,,"63% ORR, 39% CR",
,,,"updated data: 59% ORR, 41% CR with median CR duration 36 months"
,,,
,,"Phase Ib/II ""EPCORE NHL-2"" n=44 1L DLBCL - NCT04663347",
,,"epcoritamab+R-CHOP had 100% ORR, 87% CR, 83% remain in CR after 2 years",
,,,
,,,Arm 2: n=111 lenalidomide+rituximab R/R FL
,,,"96% ORR, 87% CR"
,,,
,,"Phase III ""EPCORE FL-1"" epcori+ritux+lena vs. ritux+lena - NCT05409066",
,,PE: PFS,
,,,
,,NCT05578976,
,,NCT05409066,
,,NCT06191744,
,,NCT06508658,
