Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,,,,,,,,Price HKD,3.14,
,Focus V (anlotinib),,,,,,,,Shares,18408.301709,Q224
,Annike (penpulimab),,,,,,,,MC HKD,57802.06736626,
,Yilishu (efbemalenograstim),,,,,,,,Cash HKD,40588.96799999999,Q224
,,,,,,,,,Debt HKD,9494.607,Q224
,,Indication,MOA,Admin,,,,,EV HKD,26707.70636626001,
,TQC3721,COPD,PDE3/4,Inhaled,,,,,,,
,TQC2731,Asthma,TSLP mab,,,,,,,,
,TQH2722,,IL-4Ralpha mab,,,,,,,,
,D-1553,,KRAS G12C,,,,,,,,
,TQB3616,,CDK2/4/6,,,,,,,,
,FS222,,,,,,,,,,
,TDI01,,,,,,,,,,
