Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,Price,102.27,
,,,,,,,,,,,,,Shares,337.15227500000003,Q224
,,,,,,,,,,,,,MC,34480.56316425,
,,,,,,,,,,,,,Cash,1707.0,Q222
,,,,,,,,,,,,,Debt,737.0,Q222
,,,,,,,,,,,,,EV,33510.56316425,
