Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,Enterprise,,,,,,,,,,,,,,1621.426,1617.665,
,Service Provider,,,,,,,,,,,,,,319.086,310.825,
,Revenue,,,463.078,464.954,492.997,,550.344,599.879,664.17,,,,1691.692,1940.512,1928.49,
,COGS,,,279.203,287.307,318.897,,318.726,352.649,368.296,,,,1021.88,1179.781,1188.728,
,Gross Profit,,,183.875,177.647,174.10000000000002,,231.61800000000005,247.23000000000002,295.87399999999997,,,,669.812,760.731,739.762,
,R&D,,,36.283,36.911,42.498,,37.997,39.958,44.262,,,,137.689,145.172,159.768,
,SG&A,,,19.29,19.634,20.379,,24.415,28.46,24.751,,,,69.859,70.993,80.997,
,Operating Expenses,,,55.573,56.545,62.877,0,62.412,68.418,69.013,,,,207.548,216.165,240.765,
,Operating Income,,,128.302,121.10199999999999,111.22300000000001,0,169.20600000000005,178.812,226.86099999999996,,,,462.264,544.566,498.99699999999996,
,Interest Expense,,,-21.224,-18.262,-18.87,,-10.578,-11.44,-5.42,,,,-17.815,-58.224,-75.169,
,Pretax Income,,,107.07799999999999,102.83999999999999,92.35300000000001,0,158.62800000000004,167.372,221.44099999999997,,,,444.449,486.34200000000004,423.828,
,Taxes,,,19.328,20.724,16.063,,30.64,30.577,41.006,,,,65.792,78.701,73.868,
,Net Income,,,87.74999999999999,82.11599999999999,76.29,0,127.98800000000004,136.79500000000002,180.43499999999997,,,,378.65700000000004,407.6410000000001,349.96,
,EPS,,,1.4515888901755138,1.3583894393806553,1.2617633924879679,,2.115713955102986,2.260065755778413,2.9801800313816162,,,,,,,
,Shares,,,60.451,60.451,60.463,,60.494,60.527,60.545,,,,,,,
,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,0.18844773450692998,0.29018999729005457,0.3472090093854525,,,,,,,
,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,126.342,
,AR,,,,,,,,,,,,,,,169.147,
,Inventories,,,,,,,,,,,,,,,462.032,
,Vendor,,,,,,,,,,,,,,,123.461,
,Prepaids,,,,,,,,,,,,,,,35.031,
,PP&E,,,,,,,,,,,,,,,81.126,
,Lease,,,,,,,,,,,,,,,47.768,
,DTA,,,,,,,,,,,,,,,35.934,
,OLTA,,,,,,,,,,,,,,,73.571,
,Assets,,,,,,,,,,,,,,,1154.4119999999998,
,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,51.095,
,Taxes,,,,,,,,,,,,,,,77.074,
,Debt,,,,,,,,,,,,,,,706.3860000000001,
,OCL,,,,,,,,,,,,,,,173.713,
,Lease,,,,,,,,,,,,,,,37.176,
,Taxes,,,,,,,,,,,,,,,0.492,
,OLTL,,,,,,,,,,,,,,,13.416,
,SE,,,,,,,,,,,,,,,95.06,
,L+SE,,,,,,,,,,,,,,,1154.4119999999998,
,,,,,,,,,,,,,,,,,
,CFFO,,,67.682,78.581,163.85199999999998,231.40099999999995,233.667,152.431,123.57300000000001,,,,370.259,-145.428,541.516,
,CX,,,3.025,3.852,3.2319999999999998,,2.604,1.9859999999999998,2.8280000000000003,,,,-13.468,-20.934,-11.975,
,FCF,,,64.657,74.729,160.61999999999998,231.40099999999995,231.063,150.44500000000002,120.745,,,,356.791,-166.362,529.5409999999999,
