Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Brand,,,,,,
,Generic,trevogrumab,,,,,
,MOA,GDF8/myostatin mab,,,,,
,Indication,obesity,,,,,
,Clinical Trials,,,,,,
,,Phase II with semaglutide and +- garetosmab,,,,,
,,data 2H25,,,,,3874
,,,Lean Mass,Fat Mass,,TEAE,
,,Ozempic,-7.9,-15.3,-23.200000000000003,0.47,
,,Low-dose combo,-3.7,-16.9,-20.599999999999998,0.486,26 weeks
,,higher-dose,-4.2,-18.9,-23.099999999999998,0.563,n=149
,,triplet,-2,-25.4,-27.4,0.638,TWO DEATHS!?!?
