Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Euro in millions,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,Cloud ERP,,,,,,,,,,,,,2422,,,,3167,3414,3636,3949,4251,4422,4586,
,Extension,,,,,,,,,,,,,558,,,,597,604,,,,,,
,IaaS,,,,,,,,,,,,,197,,,,164,135,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,SAP S/4HANA,,,,,227,257,276,329,404,473,548,662,719,828,920,1028,,,,,,,,
,Licenses+Support,,,,,3283,3474,3524,4379,3240,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Cloud,2011,2044,1984,2041,2145,2276,2386,2611.4,2820,2796,2986,3078,3178,3316,3472,3699,3928,4153,4351,4708,4993,5130,5290,
,Licenses,,,,1703,483,650,657,1458,317,426,406,907,276,316,335,841,203,229,285,683,183,194,161,
,Support,,,,2835,2801,2823,2867,2920.4,2923,2977,3016,2993,2905,2873,2872,2846,2829,2792,2793,2876,2761,2642,2565,
,Services,,,,960,919,,,991,1017,1007,1069,1085,1083,1049,1065,1081,1081,1114,1041,1110,1075,1061,1060,
,Revenue,,,,7539,6348,6669,6845,7980.8,7077,7206,7477,8063,7442,7554,7744,8467,8041,8288,8470,9377,9012,9027,9076,0
,COGS,,,,1902,1884,,,2157.4,2099,1967,2037,2149,2156,2145,2108,2271,2279,2271,2258,2435,2406,2407,2405,
,Gross Profit,,,,5637,4464,6669,6845,5823.4,4978,5239,5440,5914,5286,5409,5636,6196,5762,6017,6212,6942,6606,6620,6671,
,R&D,,,,1132,1171,,,1412,1425,1514,1571,1598,1573,1565,1515,1669,1665,1605,1568,1675,1673,1618,1644,
,S&M,,,,1744,1663,,,2168,1987,2100,1997,2107,2291,2165,2105,2267,2278,2217,2098,2496,2235,2156,2185,
,G&A,,,,282,505,,,756,504,341,333,345,348,322,327,362,360,336,361,378,358,361,364,
,Operating Expenses,,,,3158,3339,0,0,4336,3916,3955,3901,4050,4212,4052,3947,4298,4303,4158,4027,4549,4266,4135,4193,
,Operating Income,,,,2479,1125,6669,6845,1487.3999999999996,1062,1284,1539,1864,1074,1357,1689,1898,1459,1859,2185,2393,2340,2485,2478,
,Interest Expense,,,,107,315,,,523,-56,-213,-323,-884,-120,-175,-77,-111,-49,170,-1,273,125,49,212,
,Pretax Income,,,,2586,1440,6669,6845,2010.3999999999996,1006,1071,1216,980,954,1182,1612,1787,1410,2029,2184,2666,2465,2534,2690,
,Taxes,,,,772,267,,,513,313,297,290,308,271,365,483,575,161,499,710,591,672,753,694,
,Net Income,,,,1814,1173,6669,6845,1497.3999999999996,693,774,926,672,683,817,1129,1212,1249,1530,1474,2075,1793,1781,1996,
,EPS,,,,1.5372881355932204,0.9940677966101695,,,1.2689830508474573,0.5882852292020373,0.659846547314578,0.7894288150042625,0.5733788395904437,0.5817717206132879,0.6923728813559322,0.9567796610169491,1.028862478777589,1.0593723494486853,1.298811544991511,1.2641509433962264,1.7795883361921099,1.5364181662382177,1.5274442538593482,1.7147766323024054,
,Shares,,,,1180,1180,,,1180,1178,1173,1173,1172,1174,1180,1180,1178,1179,1178,1166,1166,1167,1166,1164,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,,0.0586019365963657,0.11483931947069936,0.08052181736392261,0.0923301680058437,0.010299719326383405,0.051575526352974466,0.048293089092422914,0.03570950916142834,0.05010541981892591,0.08048911582907814,0.09716706380725437,0.09375,0.10747608361875516,0.12075612486009213,0.08916505791505802,0.07154663518299875,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,,,,,,,8195,0,0,0,0,11835,
,Cash,,,,,,,,,,,,,,,,,,17787,,,,,20956,
,AR,,,,,,,,,,,,,,,,,,6148,,,,,5778,
,Other,,,,,,,,,,,,,,,,,,6046,,,,,2777,
,Taxes,,,,,,,,,,,,,,,,,,885,,,,,735,
,Goodwill,,,,,,,,,,,,,,,,,,32142,,,,,31418,
,PP&E,,,,,,,,,,,,,,,,,,4255,,,,,4396,
,Other Receivables,,,,,,,,,,,,,,,,,,121,,,,,126,
,DTA,,,,,,,,,,,,,,,,,,2993,,,,,2210,
,Assets,,,,,,,,,,,,,,,,,,70377,0,0,0,0,68396,
,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,,,1895,,,,,2074,
,Taxes,,,,,,,,,,,,,,,,,,1257,,,,,1488,
,Debt,,,,,,,,,,,,,,,,,,9592,,,,,9121,
,Other,,,,,,,,,,,,,,,,,,4852,,,,,4675,
,Provisions,,,,,,,,,,,,,,,,,,2785,,,,,717,
,DR,,,,,,,,,,,,,,,,,,7789,,,,,6894,
,DTL,,,,,,,,,,,,,,,,,,267,,,,,187,
,SE,,,,,,,,,,,,,,,,,,41942,,,,,43241,
,L+SE,,,,,,,,,,,,,,,,,,70379,0,0,0,0,68397,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,103142,,,,104670,104988,106912,106312,105132,105328,106495,107602,108133,,,,,,,
