Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Product,,,,,,,,,,,Price,532.0,
,Photoshop,,,"Affinity, Midjourney",,,,,,,,Shares,448.0,Q224
,Illustrator,,,,,,,,,,,MC,238336.0,
,Express,,,,,,,,,,,Cash,7515.0,Q224
,Lightroom,,,,,,,,,,,Debt,5627.0,Q224
,Premiere,,,,,,,,,,,EV,236448.0,
,Stock,,,,,,,,,,,,,
,Acrobat,,,,,,,,,,,CEO: Shantanu Narayen,,
,After Effects,,,,,,,,,,,CFO: Dan Durn,,
,InDesign,,,,,,,,,,,"President, Digital Media: David Wadhwani",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,10/7/21: 1.24B acquisition of Frame.io,,,,,,,,,,,,,
