Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,MOA,Phase,Economics,Indication,,,,Price,18.0,
,firmonertinib,EGFR inhibitor,I,Allist,NSCLC,,,,Shares,40.568944,Q225
,,ADC,,AlphaMab,,,,,MC,730.240992,
,ARR-217,,,,,,,,Cash,235.687,Q225
,,,,,,,,,Debt,0.0,Q225
,,,,,,,,,EV,494.553992,
,,,,,,,,,,,
,,,,,,,,,PIC,584.003,Q225
,,,,,,,,,AD,334.119,Q225
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,"7/3/25: secondary 3,059,615 at 19.50 with 576,923 overalllotment, 1,363,469 pre-funded warrants",,,
,,,,,,,,"1/30/24: IPO 9,722,222 at 18 with 1,458333 overallotment, 183.2m net.",,,
