Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Debt,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Maturity,Issued,Duration,Amount,Coupon,Note,Price,Yield,Currency,Collateral,Rating,High,High Date,Low,Low Date,UST,
,2012 5.15%,2012-08-15 00:00:00,2007-08-16 00:00:00,2 years,600,0.0515,Callable,108.894,0.0112,USD,Unsecured,AAA,0.052,2007-10-15 00:00:00,0.00771,2010-03-23 00:00:00,0.0078,0.0034000000000000002
,2013 3.80%,2013-05-15 00:00:00,2003-05-19 00:00:00,3 years,500,0.038,Bullet,105.56,0.0188,USD,Unsecured,AAA,0.05826,2007-06-18 00:00:00,0.01073,2010-04-30 00:00:00,0.0129,0.005900000000000001
,2017 5.55%,2017-08-15 00:00:00,2007-08-13 00:00:00,7 years,1000,0.0555,Callable,113.537,0.0342,USD,Unsecured,AAA,0.05905,2008-10-14 00:00:00,0.03029,2009-02-23 00:00:00,0.0287,0.005500000000000001
,2018 Senior 5.15%,2018-07-15 00:00:00,2008-06-18 00:00:00,8 years,900,0.0515,Callable,110.286,0.0368,USD,Senior Unsecured,AAA,0.05764,2008-10-14 00:00:00,0.03225,2009-02-24 00:00:00,0.0297,0.007099999999999999
,2019 Euro 4.75%,2019-11-06 00:00:00,2007-10-30 00:00:00,9 years,1000,0.0475,Callable,112.9137,0.0315,EUR,Unsecured,AAA,0.05678,2008-10-14 00:00:00,0.03125,2010-05-06 00:00:00,0.0335,-0.0020000000000000018
,2023 6.73%,2023-11-15 00:00:00,1993-11-16 00:00:00,13 years,250,0.0673,Bullet,125.001,0.0427,USD,Unsecured,AAA,0.07632,2008-10-20 00:00:00,0.0401,2009-01-15 00:00:00,0.0355,0.007200000000000005
,2024 Pound 5.5%,2024-11-06 00:00:00,2007-10-30 00:00:00,14 years,500,0.055,Callable,106.005,0.0488,GBP,Unsecured,AAA,0.06088,2008-10-14 00:00:00,0.04498,2009-08-31 00:00:00,0.0365,0.012300000000000005
,2029 6.95%,2029-09-01 00:00:00,1999-08-30 00:00:00,19 years,293,0.0695,Bullet,131.882,0.04446,USD,Unsecured,AAA,0.06903,2009-08-14 00:00:00,0.04111,2003-06-13 00:00:00,0.0365,0.007960000000000002
,2033 4.95%,2033-05-15 00:00:00,2003-05-19 00:00:00,23 years,500,0.0495,Bullet,109.919,0.04263,USD,Unsecured,AAA,0.07763,2008-10-14 00:00:00,0.04005,2010-08-24 00:00:00,0.037,0.005630000000000003
,2037 5.95%,2037-08-15 00:00:00,2007-08-13 00:00:00,27 years,995,0.0595,Callable,123.142,0.04464,USD,Senior Unsecured,AAA,0.06318,2008-10-17 00:00:00,0.04137,2010-08-31 00:00:00,0.0378,0.006839999999999999
,2038 Senior 5.85%,2038-07-15 00:00:00,2008-06-18 00:00:00,28 years,700,0.0585,Callable,122.22,0.0445,USD,Senior Unsecured,AAA,0.07053,2008-10-17 00:00:00,0.04165,2010-08-25 00:00:00,0.0379,0.006599999999999995
,2040 4.50%,2040-09-01 00:00:00,2010-08-17 00:00:00,30 years,550,0.045,Make Whole,101.132,0.0443,USD,Senior Unsecured,AAA,0.04618,2010-08-12 00:00:00,0.04123,2010-08-25 00:00:00,0.0381,0.006199999999999997
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Johnson & Johnson,,,,,,,,,,,,,,,,,
,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",,,,,,,,,,,,,,,,,
,"Janssen Research & Development, LLC",,,,,,,,,,,,,,,,,
,Janssen Pharmaceutica NV,,,,,,,,,,,,,,,,,
,"Janssen Biotech, Inc.",,,,,,,,,,,,,,,,,
