Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2021.0,2022.0,2023.0,2024.0
,Revenue,,,,,2758,2684,,,2244,2362,,,,,10304.0,13378.0,11077.0,
,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,265,1729,,,-251,893,,,,,321.0,1055.0,3736.0,
,CapEx,,,,,58,73,,,68,66,,,,,305.0,338.0,303.0,
,FCF,,,,,207,1656,,,-319,827,,,,,16.0,717.0,3433.0,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.29833074534161486,-0.17199880400657797,
