Main,Unnamed: 1,Unnamed: 2
,Brand Name,R1439
,Generic Name,aleglitazar
,Indication,Diabetes with recent CV event
,Mechanism,PPAR co-agonist
,Clinical Trials,
,,Phase II SYNCHRONY - Published in Lancet
