Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Brand,Generic,Indication,MOA,Revenue,,,,
,Medrol,,,,"242m in 2003, 260m",,,,
,Detrol LA (tolterodine),Incontinence,Muscarinic,1,1998-2000,"Enablex, Vesicare",Oral,Teva challenging. Expires '12-19. 30MS 4/29/10.,
,Geodon (ziprasidone),Schizophrenia,Atypical,1,2001-02-05 00:00:00,"Abilify, Zyprexa, Seroquel",Oral,2012-2019,
,Spiriva (tiotropium),COPD,Muscarinic,BI,2004-01-30 00:00:00,Advair,Inhaled,2012-2023,
,Torisel (temsirolimus),RCC,mTOR,1,2007-05-30 00:00:00,Sutent,IV,2026 Formulation Patent,
,Duavee (bazedoxifene),Osteoporosis,SERM,LGND,2013-10-03 00:00:00,Premarin,Oral,NCE,
,Viagra (sildenafil),ED,PDE5,1,1998-03-27 00:00:00,"Cialis, Levitra",Oral,2012-03-27 00:00:00,
,Xalatan (latanoprost),Glaucoma,Prostaglandin,1,1996-06-05 00:00:00,Lumigan,Drops,2010,
,Depo Provera: 285m,,,,,,,,
,Inspra: 10m,,,,,,,,
,Rescriptor (NNRTI): 80m,,,,,,,,
,"Glucotrol/XL: 175m, 221m, 257m, 281m, 284m, 298m, 332m 1997-2003",,,,,,,,
,"Procardia XL: 1,113m, 1,005m, 822m, 699m, 460m, 311m, 220m in 1995-2001 (all Europe)",,,,,,,,
,Tikosyn: 35m annually,,,,,,,,
,"Viracept: 530m, 530m, 436m, 365m, 337m, 258m in 1998-2002",,,,,,,,
,"Zyrtec: 10m, 146m, 265m, 407m, 541m, 699m, 990m, 1115m, 1338m, 1287m, 1362m, 1569m, 1541m, 125m in 1995-2008",,,,,,,,
,Eraxis: not disclosed,,,,,,,,
,Ponstel: 70m,,,,,,,,
,Feldene: 40m,,,,,,,,
,Daypro: 10m,,,,,,,,
,Lunelle: 45m,,,,,,,,
,Glyset: 50m,,,,,,,,
,"Healon: 105m, Corvert: 25m, Zinecard: 45m, Covera: 145m, Caverject: 10m, Provera: 60m, Salazopyrin: 65m",,,,,,,,
,"Unasyn: 370m, Mirapex: 270m, Dostinex: 225m, Fragmin: 320m, Pletil: 135m, Calan: 75m, Spiro: 75m",,,,,,,,
,"Vantin: 20m, Halcion: 60m, Dilantin: 70m, Vestra: 5m, Minipress: 30m, Lopid: 30m",,,,,,,,
,"Cefobid: 15m, Cytotec: 10m, Ansaid: 40m, Sermion: 25m, Cerebyx: 20m",,,,,,,,
,"Nipent: 5m, Somavert: 30m, Estring: 32m, Ogen: 30m, Micronase: 23m, Trelstar: 35m, Adriamycin: 55m, Pharmorubicin: 333m",,,,,,,,
,Somavert may be larger.,,,,,,,,
,Rapamune,,,,,,,,
,Protonix,,,,,,,,
,Viviant,bazedoxifene,SERM,LGND,Approved ex-US only,,,2/28/14 Updated,
,Embeda (morphine/naltrexone),Pain,Morphine,100%?,,,,,
,Vyndaqel (tafamidis),TTR-FAP,,100%?,"EU, CRL US 6/18/12",ALNY,,,
,Eraxis (anidulafungin),Candidemia,Antifungal,1,2006-02-17 00:00:00,fluconazole,IV,2012-2022,
,Elelyso (taliglucerase),Gaucher's,rHP,PLX,2012-05-01 00:00:00,"GENZ, SHPGY",IV,Biologic,
,Diflucan (fluconazole),Infections,Antifungal,1,1990-01-29 00:00:00,Zyvox,All,Generic?,
,Lipitor. Approved 12/17/1996. Ranbaxy launched 11/11.,,,,,,,,
,Camptosar. Approved 6/14/1996.,,,,,,,,
,Norvasc.,,,,,,,,
,Zoloft.,,,,,,,,
,Zithromax.,,,,,,,,
,Selzentry (maraviroc),HIV,CCR5,GSK,2007,"Isentress, vicriviroc, INCB-9471",Oral,Irrelevant,
,Aricept (donepezil),Alzheimer's,Cholinesterase,Eisai,1996-11-25 00:00:00,Exelon,Oral,,
,Xiapex,Dupuytren's Contracture,Protein,AUXL US,Filed,Surgery,Injected,Biologic,Pfizer gave back?
,Bosulif (bosutinib),CML,ABL/SRC,1,,,,,
,Troxyca ER (ALO-02),Pain,Oxycodone+Naltrexone,1,III,,,2/28/14 Updated,
,"Steglatro (ertugliflozin), fka PF-04971729 ",Type 2 Diabetes,SGLT2,MRK,III,,Oral,2/28/14 Updated,
,rivipansel GMI-1070/PF-06460031,Vaso Occlusive Crisis,Undisclosed,1,II,,,2/28/14 Updated,
,Effexor XR (venlafaxine),Depression,SNRI,1,1997-10-20 00:00:00,Oral,,Divested to VTRS,
,Rebif,,,,,,,,
,Eliquis,,,,,,,,
