Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,2021-01-29 00:00:00,2021-04-30 00:00:00,2021-07-29 00:00:00,2021-10-30 00:00:00,2022-01-28 00:00:00,2022-04-29 00:00:00,2022-07-29 00:00:00,2022-10-30 00:00:00,2023-01-27 00:00:00,2023-04-29 00:00:00,,,,2019-04-26 00:00:00,2020-04-24 00:00:00,2021-04-29 00:00:00,2022-04-29 00:00:00,2023-04-29 00:00:00,2024-04-29 00:00:00,2025-04-29 00:00:00,2026-04-29 00:00:00,2027-04-29 00:00:00,2028-04-29 00:00:00,2029-04-29 00:00:00,2030-04-29 00:00:00
,,FQ120,FQ220,FQ320,FQ420,FQ121,FQ221,FQ321,FQ421,FQ122,FQ222,FQ322,FQ422,FQ123,FQ223,FQ323,FQ423,,,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY25,FY26,FY27,FY28,FY29,FY30
,Cranial/Spinal,,,,,,,1081,1192,1123,1067,1102,1165,1043,1081,1128,,,,,,,,,,,,,,,,
,Specialty Therapies,,,,,,,618,654,641,634,633,684,667,686,699,,,,,,,,,,,,,,,,
,Neuromodulation,,,,,,,426,449,440,435,409,451,405,419,420,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diabetes,,,,,,,630,647,572,585,584,597,541,556,570,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Respiratory,,,,,,,890,796,768,802,771,740,664,671,712,,,,,,,,,,,,,,,,
,Surgical Innovations,,,,,,,1423,1542,1554,1497,1519,1491,1338,1398,1425,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coronary/Peripheral,,,,,,,605,624,620,606,603,631,579,584,581,,,,,,,,,,,,,,,,
,Structural Heart,,,,,,,730,744,787,750,740,778,741,757,760,,,,,,,,,,,,,,,,
,Cardiac Rhythm,,,,,,,1371,1539,1483,1471,1402,1552,1393,1431,1431,,,,,,,,,,,,,,,,
,Revenue,,,,,,,7774,8187,7988,7847,7763,8089,7371,7583,7727,,,,,30557,28913,30117,31686,,,,,,,,
,COGS,,,,,,,2621,2652,2491,2497,2459,2544,2467,2535,2689,,,,,9155,9424,10483,10145,,,,,,,,
,Gross Profit,,,,,,,5153,5535,5497,5350,5304,5545,4904,5048,5038,,,,,21402,19489,19634,21541,,,,,,,,
,SG&A,,,,,,,2537,2594,2547,2615,2561,2569,2518,2617,2615,,,,,10418,10109,10148,10292,,,,,,,,
,R&D,,,,,,,601,632,436,431,668,652,678,676,688,,,,,2330,2331,2493,2746,,,,,,,,
,OpEx,,,,,,,3138,3226,2983,3046,3229,3221,3196,3293,3303,,,,,12748,12440,12641,13038,,,,,,,,
,OpInc,,,,,,,2015,2309,2514,2304,2075,2324,1708,1755,1735,,,,,8654,7049,6993,8503,,,,,,,,
,Interest Income,,,,,,,-139,-238,-26,-70,-7,-212,-116,-9,-18,,,,,-1329,-777,274,-627,,,,,,,,
,Pretax Income,,,,,,,1876,2071,2488,2234,2068,2112,1592,1746,1717,,,,,7325,6272,7267,7876,,,,,,,,
,Taxes,,,,,,,-68,206,64,176,110,116,112,0,146,,,,,547,768,289,478,,,,,,,,
,Net Income,,,,,,,1944,1865,2424,2058,1958,1996,1480,1746,1571,,,,,6778,5504,6978,7398,,,,,,,,
,EPS,,,,,,,1.4336283185840708,1.3729387514723204,1.7870834562076083,1.5184829926953443,1.4500481374509369,1.4841252137705405,1.1090295991007868,1.3108108108108107,1.1794294294294294,,,,,4.993001841620626,4.073717711494338,5.153618906942393,5.4743229243747225,,,,,,,,
,S/O,,,,,,,1356,1358.4,1356.4,1355.3,1350.3,1344.9,1334.5,1332,1332,,,,,1357.5,1351.1,1354,1351.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,,,,,-0.0014149729868793148,-0.011970196653230736,-0.07724086129193786,-0.03364343061042441,-0.004637382455236372,-1,,,,,-0.05380109303923819,0.04164216788295927,0.05209682239266855,,,,,,,,
,Gross Margin,,,,,,,0.6628505273990224,0.6760718211799194,0.6881572358537806,0.6817892188097362,0.6832410150714929,0.6854988255655828,0.665309998643332,0.6656995911908216,0.6519994823346706,,,,,0.7003959812808849,0.674056652716771,0.6519241624331773,0.679827052957142,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,4684,7007,7234,6240,7346,,,,,,,,
,CapEx,,,,,,,,,,,,,,,,,,,1068,1134,1213,1355,1368,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,3616,5873,6021,4885,5978,,,,,,,,
