Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,"Imfinzi, fka MEDI-4736",
,Generic,durvalumab,
,Regulatory,BLA 761069 approved 5/1/2017,
,Indication,"Endometrial cancer (DUO-E): FDA approved Q224, EU CHMP positive opinion Q224",
,Clinical Trials,,
,,"Phase III ""NIAGRA"" miBC",
,,with chemo,
,,US approved,
,,,
,,,
,,"Phase III ""AEGEAN"" resectable IIA-IIIB NSCLC",
,,Approved in Europe & China,
,,,
,,"Phase III ""DUO-E"" mismatch repair deficient endometrial cancer",
,,combination with chemo --> monotherapy,
,,Lynparza arm?,
,,filed in China,
,,,
,,"Phase III ""Adjuvant BR.31"" NSCLC",
,,PE not met,
,,,
,,"Phase III ""TOPAZ-1"" BTC",
,,,
,,"Phase III ""HIMALAYA"" HCC",
,,filed in China with and without Imjudo,
,,,
,,"Phase III ""POSEIDON"" Stage IV NSCLC",
,,,
,,"Phase III ""CASPIAN"" ES-SCLC",
,,,
,,"Phase III ""ADRIATIC"" LS-SCLC - ASCO 2024 - NCT03703297",
,,"HR=0.73, p=0.01",
,,"1500mg durva, 1500mg durva+treme, vs placebo",
,,approved in EU/JP,
,,,
,,"Phase III ""MATTERHORN"" resectable G/GEJ",
,,PE met,
,,,
,,"Phase III ""PACIFIC-5"" locally advanced NSCLC",
,,filed in China,
,,,
,,,
,US,1202,728.0
,EM,245,142.0
,EU,459,252.0
,ROW,353,139.0
,Total,2259,1261.0
,,,
,US,0.5320938468348827,
,EM,0.10845506861443116,
,EU,0.20318725099601595,
,ROW,0.15626383355467022,
