Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Number,Title,Sector,Assignee,Rating,Notes,Date,Assignee2
,12306082,Apparatus and method for monitoring and recording disintegration times for pharmaceutical products,,Merck Sharp & Dohme LLC,,,2025-05-20 00:00:00,
,12305103,Liquid-crystal medium,,Merck Patent Gmbh,,,2025-05-20 00:00:00,
,12304938,Processes and intermediates for preparing tirzepatide,,Eli Lilly and Company,,,2025-05-20 00:00:00,
,12304899,Factor XI activation inhibitors,,Merck Sharp & Dohme LLC,,,2025-05-20 00:00:00,
,12303509,Compounds for the treatment of BRAF-associated diseases and disorders,,Pfizer Inc.,,,2025-05-20 00:00:00,
,12303460,Moisture protection features for a bottle for storing solid pharmaceutical products and methods of making same,,Merck Sharp & Dohme LLC,,,2025-05-20 00:00:00,
,12299619,Adaptive enterprise risk evaluation,,Merck Sharp & Dohme LLC,,,2025-05-13 00:00:00,
,12297537,Compounds and methods for selectively forming metal-containing films,,Merck Patent Gmbh,,,2025-05-13 00:00:00,
,12297386,Aromatic isothiocyanates,,Merck Patent Gmbh,,,2025-05-13 00:00:00,
,12297208,Small molecule inhibitors of KRAS G12C mutant,,Merck Sharp & Dohme LLC,,,2025-05-13 00:00:00,
,12297190,Modulators of STING (stimulator of interferon genes),,Pfizer Inc.,,,2025-05-13 00:00:00,
,12297177,"Solid state forms of (S)-2-(((S)-6,8-difluoro-1,2,3,4-tetrahydronaphthalen-2-yl)amino)-N-(1-(2-methyl-1-(neopentylamino)propan-2-yl)-1H-imidazol-4-yl)pentanamide and uses thereof",,Pfizer Inc.,,,2025-05-13 00:00:00,
,12296012,Chimeric Antigen Receptors Targeting FLT3,,Pfizer Inc.,,,2025-05-13 00:00:00,
,12295998,Enhancing immunogenicity of Streptococcus pneumoniae polysaccharide-protein conjugates,,Merck Sharp & Dohme LLC,,,2025-05-13 00:00:00,
,12295987,Method of using a GIP/GLP1 co-agonist for diabetes,,Eli Lilly and Company,,,2025-05-13 00:00:00,
,12291570,Treatment of metastatic pancreatic adenocarcinoma,,Merck Sharp & Dohme LLC,,,2025-05-06 00:00:00,BioLineRx Ltd.
