Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Debt,,,,,,,,,,,,,,,,,
,,,,Initial,Current,,,,,,,,,,,,,
,Name,Maturity,Issued,Duration,Duration,Amount,Coupon,Note,Price,Yield,Collateral,Rating,High,High Date,Low,Low Date,UST,Spread
,,2010,,,,,,,,,,,,,,,,
,,2011,,,,,,,,,,,,,,,,
,,2012,,,,,,,,,,,,,,,,
,,2013,,,,,,,,,,,,,,,,
,,2014,,,,,,,,,,,,,,,,
,2015 Genentech,2015-07-15 00:00:00,2005-07-18 00:00:00,10 year,5 year,993.32,0.0475,"Callable, USD",107.1,0.0326,Sr Unsecured,AA-,0.07359,2008-10-15 00:00:00,0.02839,2009-11-16 00:00:00,0.0245,0.008099999999999996
,2015 Genentech Small,2015-07-15 00:00:00,2005-07-13 00:00:00,10 year,5 year,6.68,0.0475,"Callable, USD",108,0.0307,Sr Unsecured,AA-,0.07514,2008-10-24 00:00:00,0.02958,2009-11-27 00:00:00,0.0245,0.006200000000000001
,2015 Roche GBP,2015-03-04 00:00:00,2009-02-25 00:00:00,6 year,5 year,1250,0.055,"Bullet, GBP",107.8914,0.0364,Guarantee,AA-,0.05673,2009-02-26 00:00:00,0.03634,2010-04-02 00:00:00,0.0245,0.0119
,2016 Roche,2016-03-04 00:00:00,2009-02-25 00:00:00,7 year,6 year,2750,0.05625,"Bullet, EUR",113.5855,0.0303,Guarantee,AA-,0.05536,2009-02-26 00:00:00,0.03024,2010-04-16 00:00:00,0.02835,0.0019500000000000003
,2017 Roche Swiss,2017-03-23 00:00:00,2009-03-04 00:00:00,8 year,7 year,1500,0.045,"Bullet, CHF",115.0825,0.0215,Guarantee,AA-,0.04457,2009-03-04 00:00:00,0.02115,2010-04-06 00:00:00,0.0319,-0.0104
,2019 Roche US,2019-03-01 00:00:00,2009-02-18 00:00:00,10 year,9 year,4500,0.06,"Callable, USD",110.859,0.0445,Guarantee,AA-,0.05986,2009-03-17 00:00:00,0.04257,2009-11-30 00:00:00,0.0375,0.006999999999999999
,2021 Roche Euro,2021-03-04 00:00:00,2009-02-25 00:00:00,12 year,11 year,1750,0.065,"Bullet, EUR",122.0099,0.0395,Guarantee,AA-,0.06439,2009-02-26 00:00:00,0.03941,2010-03-23 00:00:00,0.0375,0.0020000000000000018
,2023 Roche Finance Europe,2023-08-29 00:00:00,2003-08-21 00:00:00,20 year,13 year,250,0.05375,"Bullet, GBP",102.3557,0.037,Guarantee,AA-,0.07047,2008-11-04 00:00:00,0.04546,2006-01-18 00:00:00,0.021,0.015999999999999997
,2035 Debt,2035-07-15 00:00:00,2005-07-18 00:00:00,30 year,25 year,500,0.0525,"Callable, USD, Genentech",98.951,0.0439,Sr Unsecured,AA-,0.07297,2008-10-14 00:00:00,0.05135,2009-11-30 00:00:00,0.03,0.013900000000000003
,2039 Guaranteed Debt,2039-03-01 00:00:00,2009-02-18 00:00:00,30 year,29 year,2500,0.07,"Callable, USD",125.7942,0.046,Guarantee,AA-,0.06847,2009-02-19 00:00:00,0.04516,2010-08-26 00:00:00,0.0348,0.011200000000000002
