Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Sum,443.1098715382966,,,,
,US,135.0,330000000.0,2444444.4444444445,Company,https://pubmed.ncbi.nlm.nih.gov/34051828/
,Ecuador,24.0,18140000.0,755833.3333333334,https://pubmed.ncbi.nlm.nih.gov/41008709/,
,Egypt,11.0,116500000.0,10590909.090909092,https://pubmed.ncbi.nlm.nih.gov/41071200/,
,Kazakhstan,,,,https://pubmed.ncbi.nlm.nih.gov/40150022/,
,Turkey,8.0,85520000.0,10690000.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC11913520/,
,Brazil,110.0,212000000.0,1927272.7272727273,https://pubmed.ncbi.nlm.nih.gov/38488524/,https://pubmed.ncbi.nlm.nih.gov/34806811/
,Iran,14.0,91570000.0,6540714.285714285,,
,Kosovo,1.0,1600000.0,1600000.0,,
,South Korea,14.0,51750000.0,3696428.5714285714,https://pubmed.ncbi.nlm.nih.gov/35629088/,
,Taiwan,5.0,,,https://pubmed.ncbi.nlm.nih.gov/32014045/,https://pubmed.ncbi.nlm.nih.gov/31590383/
,Saudi Arabia,7.383855447074855,35300000.0,4780700.306637807,https://pubmed.ncbi.nlm.nih.gov/36415369/,
,Poland,7.634864697400346,36500000.0,4780700.306637807,https://pubmed.ncbi.nlm.nih.gov/35525889/,
,Canada,8.636809954949596,41290000.0,4780700.306637807,,
,Japan,25.937622533634052,124000000.0,4780700.306637807,,
,France,14.328444706080102,68500000.0,4780700.306637807,,
,Germany,17.46815207890145,83510000.0,4780700.306637807,,
,Italy,12.339196397250587,58990000.0,4780700.306637807,https://pubmed.ncbi.nlm.nih.gov/34709531/,https://pubmed.ncbi.nlm.nih.gov/34349725/
,Mexico,27.380925723005625,130900000.0,4780700.306637807,https://pubmed.ncbi.nlm.nih.gov/35626423/,https://pubmed.ncbi.nlm.nih.gov/32106281/
,,,,,,
,China,15.0,,,https://pubmed.ncbi.nlm.nih.gov/39243096/,
,,65.0,,,https://pubmed.ncbi.nlm.nih.gov/35709957/,
