Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,Price,75.0,
,,,,,,,,,Shares,50.372689,Q324
,,,,,,,,,MC,3777.9516750000003,
,,,,,,,,,Cash,738.879,Q324
,,,,,,,,,Debt,0.0,Q324
,,,,,,,,,EV,3039.0726750000003,
