Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,S&M,,,143.511,157.634,150.286,179.724,217.526,245.228,241.886,311.374,270.336,295.15,268.433,280.597,297.251,275.811,276.034,266.32,273.107,259.45165000000003,246.4790675,234.155114125,222.44735841875,211.3249904978125,,,,,,458.598,555.468,792.7640000000001,1118.746,,,
,G&A,,,126.287,146.932,161.723,179.204,175.275,194.438,215.908,249.061,262.367,225.929,190.341,216.874,221.051,229.157,227.463,229.306,220.979,209.93005,199.43354749999997,189.46187012499996,179.98877661874997,170.98933778781247,,,,,,580.917,529.164,710.64,953.265,,,
,OpEx,,,553.437,623.0120000000001,660.5889999999999,729.5989999999999,804.822,873.861,913.357,1065.472,1096.961,1106.021,913.8860000000001,975.134,1012.8609999999999,988.496,953.256,901.8220000000001,906.8770000000001,861.53315,818.4564925,777.533667875,738.6569844812499,701.7241352571874,,,,,,1923.024,2186.193,3068.8709999999996,4181.811000000001,,,
,OpInc,,,-167.86400000000003,-97.23599999999999,-303.606,-192.51199999999994,-180.82399999999996,-25.127000000000066,-271.5269999999998,-400.9399999999998,-435.24199999999996,-287.3319999999999,-365.2640000000001,-404.33899999999994,-379.6139999999999,-248.71299999999997,-333.2320000000001,-226.97500000000014,-172.7840000000001,-3.922339999999963,-65.74950250000006,18.64017212500005,126.33301551875013,198.76721524281265,,,,,,-1103.3279999999997,-862.0720000000001,-702.069,-1395.0409999999993,,,
,Interest,,,-25.411,-27.206999999999997,-3.8939999999999997,-3.313,-2.774,-2.4959999999999996,-2.05,2.781999999999999,13.02,23.386,32.063,37.801,38.318,38.188,35.155,,32.65,,,,,,,,,,,11.048000000000002,-79.101,-12.477,37.138,,,
,Pretax,,,-193.27500000000003,-124.44299999999998,-307.5,-195.82499999999993,-183.59799999999996,-27.623000000000065,-273.5769999999998,-398.15799999999984,-422.222,-263.94599999999986,-333.20100000000014,-366.53799999999995,-341.29599999999994,-210.52499999999998,-298.0770000000001,-226.97500000000014,-140.1340000000001,-3.922339999999963,-65.74950250000006,18.64017212500005,126.33301551875013,198.76721524281265,,,,,,-1092.2799999999997,-941.1730000000001,-714.5459999999999,-1357.9029999999993,,,
,Taxes,,,0.909,18.127,1.44,-1.879,0.992,13.031,8.51,6.999,9.241,4.206,0,0,0,,,,,,,,,19.876721524281265,,,,,,0.393,18.654,13.584,28.956,,,
,Net Income,,,-194.18400000000003,-142.57,-308.94,-193.94599999999994,-184.58999999999995,-40.65400000000007,-282.0869999999998,-405.15699999999987,-431.46299999999997,-268.1519999999999,-333.20100000000014,-366.53799999999995,-341.29599999999994,-210.52499999999998,-298.0770000000001,-226.97500000000014,-140.1340000000001,-3.922339999999963,-65.74950250000006,18.64017212500005,126.33301551875013,178.8904937185314,,,,,,-1092.6729999999998,-959.8270000000001,-728.1299999999999,-1386.8589999999992,,,
,EPS,,,-0.1324204525306529,-0.09605349944787933,-0.20573561102690666,-0.12535014096122496,-0.11675772913522489,-0.024360064450448516,-0.1742231703407976,-0.248236670873822,-0.26823551792545086,-0.17037606988575382,-0.21070400981427506,-0.2286329851070253,-0.20990985394703418,-0.12846964143834738,-0.18093926927916762,-0.13788953527930878,-0.08426522734966882,-0.0023585773034573813,-0.0395364206851308,0.011208688412163268,0.07596643408777821,0.1075702407972836,,,,,,-0.79440435286471,-0.659360867985214,-0.46705028938477744,-0.8622521025749107,,,
,Shares,,,1466.42,1484.277,1501.636,1547.234,1580.966,1668.879,1619.113,1632.14,1608.523,1573.883,1581.37,1603.172,1625.917,1638.714,1647.387,1646.064,1663.011,1663.011,1663.011,1663.011,1663.011,1663.011,,,,,,1375.462,1455.693,1558.997,1608.41475,,,
