Main,Unnamed: 1,1996-07-30 00:00:00,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,2022-07-30 00:00:00,Unnamed: 29,Unnamed: 30
,,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
,Revenue,4101.0,6452.0,8489.0,12173.0,18928.0,22293.0,18915.0,18878.0,22045.0,24801.0,28484.0,34922.0,39540.0,36117.0,40040.0,43218.0,46061.0,48607.0,47142.0,49161.0,49247.0,48005.0,49330.0,51904.0,49301.0,49818.0,51557.0,,
,Price,4.05,6.23,11.24,21.88,46.1,13.54,9.29,13.73,14.74,13.49,12.6,20.37,15.49,15.51,16.25,11.33,11.5,19.01,19.33,22.43,24.93,26.59,36.91,49.67,43.61,52.9,44.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.09291941768609027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,0.5732748110217021,0.3157160570365778,0.4339733773118153,0.5549166187464061,0.17777895181741332,-0.1515273852778899,-0.001956119481892671,0.16776141540417422,0.1250170106600137,0.14850207652917224,0.22602162617609878,0.1322375579863697,-0.08657056145675268,0.10861920979040351,0.07937062937062933,0.06578277569531221,0.05527452725733273,-0.030139691813936276,0.04282805141911661,0.001749354162852601,-0.025219810343777294,0.027601291532131977,0.05217920129738496,-0.05015027743526512,0.010486602705827464,0.03490706170460478,,
,Stock y/y,,0.5382716049382719,0.8041733547351524,0.9466192170818504,1.1069469835466181,-0.706290672451193,-0.3138847858197932,0.47793326157158256,0.0735615440640931,-0.08480325644504749,-0.06597479614529289,0.6166666666666667,-0.23956799214531177,0.0012911555842478606,0.047711154094132846,-0.3027692307692308,0.015004413062665423,0.6530434782608696,0.01683324566017874,0.16037247801345078,0.1114578689255461,0.06658644203770558,0.38811583301993213,0.3457057707938229,-0.12200523454801693,0.21302453565695934,-0.15689981096408312,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.5510155218096039,,,,,,,,,,,,,,,,,,,,,,,,,,,
