Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,Price,1122,
,,,,,,,,,,,,Shares,434,Q325
,,,,,,,,,,,,MC,486948,
,,,,,,,,,,,,Cash,9324,Q325
,,,,,,,,,,,,Debt,14463,Q325
,,,,,,,,,,,,EV,492087,
