Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,Economics,Approved,Administration,,,,Price,9.0,
,Yutiq (fluocinolone),Uveitis,ALIM,,,,,,Shares,53.51821,Q224
,Dexycu (dexamethasone suspension),postoperative inflammation,,,,,,,MC,481.66389000000004,
,,,,Phase,intravitreal insert,,,,Cash,280.24800000000005,Q224
,Duravyu (vorolanib),,,III planning,,,,,Debt,0.0,Q224
,,,,,,,,,EV,201.41589,
