Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Name,Ticker,Price,MC,NC,EV
x,WuXi Apptec,603259 CH,,,,
x,Lonza,LONN SW,,,,
,Asymchem Labs,002821 CH,,,,
,Zhejiang NHU,002001 CH,,,,
,Veranova,,,,,
,PharmaCompass.com,,,,,
,Aspen,,,,,
,CBL Patras,,,,,
,Polpharm,,,,,
,Sterling Pharmaceutical Services,,,,,
,Supriya Lifescience,,,,,
,EuroAPI,,,,,
,Gentec,,,,,
