Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,2020-02-02 00:00:00,2021-01-31 00:00:00,2022-01-30 00:00:00,2023-01-29 00:00:00,2024-01-28 00:00:00,2025-02-02 00:00:00,2026-02-02 00:00:00,2027-02-02 00:00:00,2028-02-02 00:00:00,2029-02-01 00:00:00
,Revenue,3979.296,4401.879,6256.617,8110.518,9619.278,10588.126,11646.938600000001,12811.632460000003,14092.795706000004,15502.075276600006
,COGS,1755.91,1937.888,2648.052,3618.178,4009.873,4317.315,4775.244826000001,5252.769308600002,5778.046239460002,6355.850863406004
,Gross Profit,2223.3859999999995,2463.991,3608.565,4492.34,5609.405000000001,6270.811000000001,6871.693774,7558.863151400001,8314.749466540003,9146.224413194002
,SG&A,1334.247,1609.003,2225.034,2757.447,3397.218,3762.379,3950.49795,4148.0228475,4355.423989875,4573.19518936875
,Operating Income,889.1389999999994,854.988,1383.531,1734.893,2212.187000000001,2508.4320000000007,2921.1958240000004,3410.8403039000004,3959.3254766650025,4573.029223825252
,Interest,8.283,-0.636,0.514,4.163,43.059,70.38,,,,
,Pretax Income,897.4219999999995,854.3520000000001,1384.0449999999998,1739.056,2255.246000000001,2578.812000000001,2921.1958240000004,3410.8403039000004,3959.3254766650025,4573.029223825252
,Taxes,251.797,230.437,358.547,477.771,625.545,761.461,584.2391648000001,682.1680607800001,791.8650953330006,914.6058447650505
,Net Income,645.6249999999994,623.9150000000001,1025.4979999999998,1261.285,1629.701000000001,1817.3510000000008,2336.9566592,2728.6722431200005,3167.460381332002,3658.423379060202
,EPS,4.930128670153865,4.7674045434053385,7.870585977973061,9.85248052992962,12.826231701558326,14.663743091136489,18.85630902650583,22.016962465163193,25.55743237448664,29.518887957882775
,Shares,130.955,130.871,130.295,128.017,127.06,123.935,123.935,123.935,123.935,123.935
,,,,,,,,,,,
,Revenue y/y,,0.10619541748088102,0.4213514274245158,0.2963104502001641,0.18602510961691965,0.1007194095024595,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009
,Gross Margin,0.5587385306345644,0.5597589120464238,0.5767597728932424,0.5538906392908567,0.5831419988069791,0.5922493744407651,,,,
,,,,,,,,,,,
,Cash,,,,,,1984.336,,,,
,AR,,,,,,120.173,,,,
,Inventories,,,,,,1442.081,,,,
,Prepaids,,,,,,433.712,,,,
,PP&E,,,,,,1780.617,,,,
,Lease,,,,,,1416.256,,,,
,Goodwill,,,,,,171.191,,,,
,Taxes,,,,,,17.085,,,,
,ONCA,,,,,,237.841,,,,
,Assets,,,,,,7603.292,,,,
,,,,,,,,,,,
,AP,,,,,,271.406,,,,
,Accrued,,,,,,559.463,,,,
,Compensation,,,,,,204.543,,,,
,Lease,,,,,,1575.791,,,,
,Taxes,,,,,,281.314,,,,
,Gift Card,,,,,,308.352,,,,
,OCL,,,,,,37.586,,,,
,ONCL,,,,,,40.79,,,,
,SE,,,,,,4324.047,,,,
,Assets,,,,,,7603.291999999999,,,,
,,,,,,,,,,,
,CFFO,803.336,803.336,1389.108,966.463,2296.164,2272.713,,,,
,CX,229.226,229.226,394.502,638.657,651.865,689.232,,,,
,FCF,574.11,574.11,994.606,327.8059999999999,1644.2990000000002,1583.4810000000002,,,,
