2. Product Sales Analysis (vs PY Reported Actual) (continued)                     Sales amount includes royalty income and service income,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Table of Contents
,■ Q4,,,,,,,,,,,,,,
,,Reported,,,,,,,,,,,,,
,,FY20 Q4,FY21 Q4,YOY,US,YOY,,,,,,,Ex-US,YOY,
,(Bn JPY),,,,,,Japan,YOY,EUCAN,YOY,GEM*5,YOY,,,
GI,,189,210,0.111,114.4,0.08,25,0.096,48.5,0.158,17.9,0.27399999999999997,4.2,-0.035,
,ENTYVIO,110,126.4,0.149,83.5,0.113,2.8,0.168,33.7,0.187,6.4,0.533,,,
,TAKECAB-F *1,20.7,24,0.161,0.1,-,21.2,0.051,0,-,2.7,4.466,,,
,GATTEX/REVESTIVE,14.4,19.1,0.326,14.7,0.231,0.8,-,2.8,0.23600000000000002,0.8,2.852,,,
,DEXILANT,12.1,10.6,-0.12300000000000001,5.2,-0.231,0,-,2.7,0.07200000000000001,2.8,-0.04,,,
,PANTOLOC/CONTROLOC*2,10.7,10.2,-0.049,0.4,-0.2,0,-,6.7,0.081,3.1,-0.23199999999999998,,,
,LIALDA/MEZAVANT *3,6.8,7.4,0.10099999999999999,3.2,0.34600000000000003,,,,,,,4.2,-0.035,
,PENTASA,5.3,4.4,-0.166,4.4,-0.166,,,,,,,,,
,AMITIZA,2.4,0.6,-0.755,0.5,-0.787,,,0,-,0.1,-0.16,,,
,RESOLOR/MOTEGRITY,2.7,2.9,0.062000000000000006,2.2,0.219,0,-,0.7,-0.247,0,-,,,
,ALOFISEL,0.2,0.5,1.24,0,-,0,-,0.4,1.6630000000000003,0.1,0.053,,,
,Others,3.7,3.8,0.035,0.2,-,0.2,-0.219,1.4,0.037000000000000005,2,-0.044000000000000004,,,
Rare Diseases,,145,148.3,0.022000000000000002,65.1,0.054000000000000006,5.8,-0.14300000000000002,35.1,-0.018000000000000002,30.2,0.081,12.1,-0.057999999999999996,
Rare Metabolic,,40.8,39.2,-0.04,9.6,0.13,0.3,-0.747,12.2,0.07200000000000001,5,-0.29100000000000004,12.1,-0.057999999999999996,
,ELAPRASE,17.3,15.4,-0.107,5.2,0.109,-0.0,-,7,0.064,3.3,-0.386,,,
,REPLAGAL *3,12.9,12.1,-0.057999999999999996,0,-,,,,,,,12.1,-0.057999999999999996,
,VPRIV,9.7,10.2,0.061,4.4,0.13699999999999998,0.3,-0.094,3.8,0.017,1.7,0.012,,,
,NATPARA/NATPAR,1,1.4,0.36100000000000004,0,-,0,-,1.4,0.305,0,-0.9359999999999999,,,
Rare Hematology,,71.2,72.1,0.012,28.9,0,5.3,-0.032,14.7,-0.154,23.3,0.19,,,
,ADVATE,31.4,29.2,-0.07200000000000001,12.6,-0.11900000000000001,1.1,-0.184,5.3,-0.252,10.1,0.172,,,
,ADYNOVATE/ADYNOVI,14.3,14.9,0.038,6.4,0.024,3.3,0.013000000000000001,3.8,0.019,1.3,0.278,,,
