Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Patent,Title,Filed,Relevance,Notes
,11365263,Bifunctional cytotoxic agents containing the CTI pharmacophore,2020-11-06 00:00:00,2,
,11365253,"Anti-ROBO2 antibodies, compositions, methods and uses thereof",2018-06-08 00:00:00,6,
,11364303,Cysteine engineered antibody drug conjugates,2018-09-24 00:00:00,3,
,11359024,Anti-AVB8 antibodies and compositions and uses thereof,2019-09-05 00:00:00,5,
,11351149,Nitrile-containing antiviral compounds,2021-08-05 00:00:00,3,coronavirus
,11339159,Toll-like receptor agonists,2020-07-13 00:00:00,3,
,11326185,Site-specific integration,2018-10-31 00:00:00,2,with Lonza
,11325909,"Crystalline 2-amino-2-(hydroxymethyl)propane-1,3-diol salt of 4-(4-(1-isopropyl-7-OXO-1,4,6,7-tetrahydrospiro[indazole-5,4'-piperidine]- -1'-carbonyl)-6-methoxypryridin-2-YL)benzoic acid",2018-11-14 00:00:00,3,ACC inhibitor
,11312782,Chimeric antigen receptors targeting B-cell maturation antigen,2019-04-15 00:00:00,3,BCMA
,11312713,"Imidazo[4,5-C]quinoline derivatives as LRRK2 inhibitors",2018-03-06 00:00:00,7,LRRK2
