Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,"Beware he who would deny you access to information, for in his heart, he dreams himself your master.",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Name,AUM,Latest Fund,Focus,AI Investments,Doomers,,,,
,7wire Ventures,500,217,Healthcare,,https://twitter.com/AlyssaJoyJaffee,https://twitter.com/7wireventures,,,
,Activate Capital Partners,500,500,Industrials,"Altana AI, Optimal Dynamics",https://twitter.com/annaring,,,,
,AlbionVC,1000,,"Healthcare, SaaS","Seldon, Diffblue, Speechmatics, PerchPeek",https://twitter.com/lauren__apost,https://twitter.com/albionvc,https://twitter.com/drmolsg,https://twitter.com/paullehair,https://twitter.com/goldie_oz
,Antler,500,,Seed,"Hundreds of deals: Fero, Tidalflow, Katalis AI, MuchBetter, Persona, Agenta, Quacks.ai, Factory AI",,,,,
,Artisanal Ventures,62,62,Who Knows,,,,,,
,Atypical Ventures,,,,"Rodeo, Metaphor, Twosense.ai",,,,,
,Avaana Capital,,,"Climate, Healthcare","Intello Labs, AarogyaAI",,,,,
,Bain Capital Ventures,,,,"Akkio, Unstructured Technologies, Granica, Contextual AI, Holocron Technologies, EvenUp, Nightfall AI, Tecton, ",https://twitter.com/RichFeloni,https://twitter.com/rak_garg/,,,
,Base10,,,,"Muir AI, Prins Artificial Intelligence, SuperAnnotate",,,,,
,Bessemer Venture Partners,,,,"Sixfold AI, Coactive AI, DeepL, Spot AI, Jasper",,,,,
,Brave,,,,,,,,,
,Breyer Capital,,,,,,,,,
,City Light,,,,,,,,,
,Cowboy Ventures,,,,,,,,,
,CRV,,,,,,,,,
,Democracy,,,,,,,,,
,DataPower Ventures,,,,,,,,,
,DCVC,,,,,,,,,
,ex/ante,,,,,,,,,
,Felicis Ventures,,,,,,,,,
,Fly Ventures,,,,,,,,,
,General Atlantic,,,,,,,,,
,General Catalyst,,,,"Adept, Hippocratic",,,,,
,Generation Investment,,,,,,,,,
,GG1,,,,,,,,,
,Glasswing,,,,,,,,,
,Insight Partners,,,,,,,,,
,IVP,,,,,,,,,
,Intel Capital,,,,,,,,,
,Khosla Ventures,,,,,,,,,
,Kinnevik,,,,,,,,,
,Lux Capital,,,,,,,,,
,Matchstick Ventures,,,,,,,,,
,Mayfield Fund,,,,,,,,,
,Obvious Ventures,,,,,,,,,
,Paladin Capital,,,,,,,,,
,Phoenix Court Group,,,,,,,,,
,Radical Ventures,,,,,,,,,
,Ribbit Capital,,,,,,,,,
,Riceberg Ventures,,,,,,,,,
,Roadster Capital,,,,,,,,,
,Samsara,,,,,,,,,
,Sands Capital,,,,,,,,,
,SoftBank,,,,,,,,,
,Square Peg,,,,,,,,,
,Westly Group,,,,,,,,,
,Thrive Capital,,,,,,,,,
,Tola Capital,,,,,,,,,
,Village Global,,,,,,,,,
,Xfund,,,,,,,,,
,XYZ Venture Capital,,,,,,,,,
