Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102
,Interest Income,,,,,-53,-121,,,-25,-38,,,,-62.39999999999999,-57.9,-53.7,-59.199999999999996,-66.0,-68.0,-56.0,-54.0,-80.0,-60.0,-40.0,-27.7678835,10.37341911625,50.52894147034063,92.7882200448966,137.2446359444919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,79,76,,,173,183,,,,846.4000000000004,872.0000000000001,848.7999999999997,849.200000000001,714.0,413.0,632.0,515.0,818.0,846.98,876.0498,897.4424144999999,944.83582009625,994.3359664601406,1046.0333152845947,1100.022182136587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,0,30,,,47,44,,,,218.2,242.2,204.4,234.9,186.0,103.0,177.0,178.0,123.0,127.047,131.40747,134.61636217499998,141.7253730144375,149.15039496902108,156.9049972926892,165.00332732048804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,79,46,,,126,139,,,,628.2000000000005,629.8000000000002,644.3999999999997,614.300000000001,528.0,310.0,455.0,337.0,695.0,719.933,744.64233,762.826052325,803.1104470818125,845.1855714911196,889.1283179919055,935.0188548160988,925.6686662679379,916.4119796052585,907.2478598092059,898.1753812111139,889.1936273990027,880.3016911250127,871.4986742137626,862.783687471625,854.1558505969086,845.6142920909396,837.1581491700301,828.7865676783298,820.4987020015465,812.293714981531,804.1707778317157,796.1290700533986,788.1677793528646,780.286101559336,772.4832405437426,764.7584081383052,757.1108240569222,749.539715816353,742.0443186581895,734.6238754716076,727.2776367168915,720.0048603497225,712.8048117462254,705.6767636287631,698.6199959924754,691.6337960325507,684.7174580722251,677.8702834915028,671.0915806565878,664.3806648500218,657.7368582015216,651.1594896195064,644.6478947233113,638.2014157760782,631.8194016183174,625.5012076021343,619.246195526113,613.0537335708518,606.9231962351433,600.8539642727919,594.845424630064,588.8969703837633,583.0080006799257,577.1779206731264,571.4061414663952,565.6920800517312,560.0351592512138,554.4348076587016,548.8904595821147,543.4015549862935,537.9675394364306,532.5878640420663,527.2619854016456,521.9893655476291,516.7694718921528,511.6017771732312,506.48575940149885,501.42090180748386,496.406692789409,491.44262586151495,486.5281996028998,481.6629176068708,476.8462884308021,472.07782554649407,467.3570472910291,462.68347681811883,458.05664204993764,453.47607562943824
,EPS,,,,,0.9154113557358053,0.5361305361305362,,,1.5180722891566265,1.713933415536375,,,,7.106334841628964,7.124434389140273,7.34777651083238,7.036655211912955,6.041189931350114,3.5428571428571427,5.188141391106043,3.864678899082569,8.157276995305164,8.449917840375587,8.739933450704225,8.953357421654928,9.426178956359301,9.92001844473145,10.435778380186685,10.974399704414305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,86.3,85.8,,,83,81.1,,,,88.4,88.4,87.7,87.3,87.4,87.5,87.7,87.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,,0.09858663409527124,-0.1922649301143583,0.06653721364664245,-0.015003111244267342,-0.12880205896116048,0.10514301060829867,0.0743620899149453,0.1846867224609816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,,,,0.2011101901936835,0.20419710927573062,0.20643250417854683,0.1971952709087139,0.1854234908750585,0.1673156975963475,0.1835965978128797,0.15788283193847547,0.17384248210023867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,,,,,,-1300.0,-555.35767,207.468382325,1010.5788294068125,1855.764400897932,2744.892718889838,3679.9115737059365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ROIC,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,750.5,868.4,590.6,590.6,641.0,849.0,754.0,713.0,982.0,,,Maturity,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CX,,,,,,,,,,,,,,465.8,506.8,560.0,560.0,483.0,344.0,458.0,585.0,573.0,,,Discount,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,284.7,361.59999999999997,30.600000000000023,30.600000000000023,158.0,505.0,296.0,128.0,409.0,,,NPV,8114.662499644686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Shares,101.33225678550306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
