Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Content - Warner Bros Motion Picture Group,,,,,,Price,8.0,
,"Dune 2, Looney Tunes, Batman (DC), Films",,,,,,Shares,2450.313398,Q124
,Almost all revenue is recognized in content.,,,,,,MC,19602.507184,
,,,,,,,Cash,2976.0,Q124
,"Networks - most profitable, 9B EBITDA 2022-2023",,,,,,Debt,42578.0,Q124
,"CNN, Discovery Channel, ",,,,,,EV,59204.507184,
,"54% distribution, 39% advertising, 7% content",,,,,,,,
,,,,,,,,,
,DTC,,,,,,,,
,HBO Max,,,,,,,,
,90% distribution,,,,4/8/22: Closes merger with WarnerMedia.,,,,
