Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Subscriptions,,,,,5400,5300,4800,5000,5100,4800,4400,4600,4700,4400,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,198.378,198.478,171.942,207.467,202.244,194.721,164.739,205.193,187.601,182.853,157.854,187.987,174.35,163.147,136.6,143,121.4,146.8323,122.94,128.70000000000002,,7.606,47.834,148.922,172.018,213.334,255.575,304.834,301.373,254.09,255.066,321.084,410.926,644.338,776.265,766.897,716.295,617.097,555.3873,499.84857,449.863713,404.87734170000004,364.38960753000003,327.95064677700003,295.15558209930003,265.64002388937,239.07602150043303,215.16841935038974,193.65157741535077
,COGS,71.384,60.708,67.102,55.71,55.085,45.684,45.203,51.424,49.15,47.412,83.575,45.804,46.497,45.411,43.42,45.599,,,,,,5.433,39.022,114.215,127.012,145.669,175.06,210.985,189.849,119.601,80.175,79.996,92.182,205.417,254.904,197.39600000000002,225.941,180.927,,,,,,,,,,,
,Gross Profit,126.99399999999999,137.77,104.84,151.757,147.159,149.037,119.536,153.769,138.451,135.441,74.27900000000001,142.183,127.853,117.73599999999999,93.17999999999999,97.40100000000001,,,,,,2.173,8.812000000000005,34.706999999999994,45.006,67.66499999999999,80.51499999999999,93.84899999999999,111.524,134.489,174.89100000000002,241.08800000000002,318.74399999999997,438.92099999999994,521.361,569.501,490.3539999999999,436.16999999999996,,,,,,,,,,,
,R&D,46.131,41.595,43.269,47.826,52.415,52.48,45.426,46.316,46.907,52.872,46.202,45.724,44.435,43.651,41.337,41.008,,,,,,1.394,7.85,18.885,29.591,39.315,41.944,49.386,59.391,66.331,81.926,114.291,139.772,170.905,178.821,196.637,191.70499999999998,170.431,,,,,,,,,,,
,S&M,26.214,21.686,27.239,30.275,42.498,35.279,31.803,38.08,37.017,30.956,28.872,29.746,30.375,23.545,26.508,27.901,,,,,,1.628,8.512,24.422,28.4,51.082,50.302,72.315,64.082,53.949,51.24,54.714,63.569,81.914,105.41399999999999,147.66,126.591,108.329,,,,,,,,,,,
,G&A,37.87,39.719,33.971,47.459,46.87,53.935,53.742,61.7,58.973,70.309,57.075,53.426,55.534,54.016,51.91,56.296,,,,,,1.977,7.591,15.362,20.328,25.117,40.486,41.837,45.209,55.372,64.411,77.714,97.586,129.349,159.019,216.247,239.78299999999996,217.75599999999997,,,,,,,,,,,
,Operating Expenses,110.215,103,104.47899999999998,125.56,141.783,141.69400000000002,130.971,146.096,142.897,154.137,132.149,128.89600000000002,130.344,121.21199999999999,119.755,125.20500000000001,,,,,,4.999,23.953000000000003,58.669,78.31899999999999,115.514,132.732,163.538,168.682,175.652,197.577,246.719,300.927,382.168,443.254,560.5440000000001,558.079,496.51599999999996,,,,,,,,,,,
