Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Paid,,,,,,,,,,,,6.6,,,8.6,9.5,10.3,10.9,11.5,,,,,,,,,,,,,,,,
,MAU,,,,,,,,,,,,88.4,,,113.1,116.7,130.2,128.3,135.3,,,,,,,,,,,,,,,,
,DAU,10,9,10,10,13,13,15,16,20,21,24,27,31,34,37,41,46.6,47.7,50.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bookings,,,,,,,,,,,,,,,,271.6,,,,,,,,,,294.0,429.0,622.0,870.6,,,,,,
,Revenue,,,,,,,,,115.661,126.839,137.624,150.985,167.553,178.327,192.594,209.55,230.743,252.265,271.713,332,299.9659,327.9445,353.22690000000006,431.6,,250.772,369.495,531.109,748.024,1086.721,,,,,
,COGS,,,,,,,,,31.492,33.788,36.254,40.571,45.191,47.349,52.18,58.925,66.647,69.684,74.802,,,,,,,69.186,99.431,142.105,203.645,,,,,,
,Gross Profit,,,,,,,,,84.169,93.051,101.37,110.41400000000002,122.362,130.978,140.414,150.625,164.096,182.581,196.911,,,,,,,181.58599999999998,270.064,389.004,544.379,,,,,,
,R&D,,,,,,,,,45.844,47.947,50.305,50.256,50.878,55.147,62.878,66.395,70.39,73.67,82.707,,,,,,,103.833,150.444,194.352,235.298,,,,,,
,S&M,,,,,,,,,16.601,17.734,22.335,19.118,19.931,20.174,25.574,24.815,26.662,29.563,35.081,,,,,,,59.17,66.967,75.788,90.494,,,,,,
,G&A,,,,,,,,,30.243,32.235,33.4,36.245,35.114,36.957,38.388,45.533,43.45,45.985,43.964,,,,,,,78.59,117.848,132.123,155.992,,,,,,
,Operating Expenses,,,,,,,,,92.688,97.91600000000001,106.03999999999999,105.619,105.923,112.27799999999999,126.84,136.743,140.502,149.21800000000002,161.752,0,,,,,,241.593,335.259,402.263,481.784,,,,,,
,Operating Income,,,,,,,,,-8.519000000000005,7.275,-4.6699999999999875,4.795000000000016,16.438999999999993,18.700000000000017,13.573999999999984,13.882000000000005,23.593999999999994,33.36299999999997,35.15899999999999,0,,,,,,-60.007000000000005,-65.195,-13.258999999999958,62.59500000000003,,,,,,
,Interest,,,,,,,,,5.821000000000001,5.821000000000001,7.602,10.338000000000001,9.411999999999999,10.014,11.815000000000001,8.469999999999999,10.415,11.427,11.793,,,,,,,0.049,6.559,31.146,39.711000000000006,,,,,,
,Pretax Income,,,,,,,,,-2.698000000000005,13.096,2.932000000000013,15.133000000000017,25.850999999999992,28.714000000000016,25.388999999999985,22.352000000000004,34.00899999999999,44.78999999999997,46.95199999999999,,,,,,,-59.958000000000006,-58.635999999999996,17.887000000000043,102.30600000000004,,,,,,
,Taxes,,,,,,,,,-0.116,-0.116,0.125,3.016,-1.105,4.363,2.029,8.445,0,1.669,0,,,,,,,0.177,0.938,1.71,13.732,,,,,,
,Net Income,,,,,,,,,-2.5820000000000047,13.212,2.807000000000013,12.117000000000017,26.955999999999992,24.351000000000017,23.359999999999985,13.907000000000004,34.00899999999999,43.120999999999974,46.95199999999999,,,,,,,-60.135000000000005,-59.574,16.177000000000042,88.57400000000004,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,0.44865598602813384,0.4059319294538746,0.3994216125094461,0.38788621386230426,0.37713439926471026,0.41462033231086703,0.4108071902551482,0.5843474111190645,0.2999999999999998,0.30000000000000004,0.30000000000000004,0.30000000000000004,,,0.4734300480117397,0.43739157498748304,0.4084189874394897,,,,,,
,Gross Margin,,,,,,,,,0.7277215310260157,0.7336150553063332,0.7365721095157822,0.7312911878663444,0.7302883266787226,0.7344821591794849,0.7290673645077209,0.7188021951801479,0.7111635022514227,0.7237666739341565,0.7247021673604134,0,0,0,0,0,,0.7241079546360837,0.7309002828184414,0.7324372209847696,0.7277560613028459,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,53.656,153.614,285.513,,,,,,
,CX,,,,,,,,,,,,,,,,,,,,,,,,,,3.586,5.562,3.191,,,,,,,
