Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,LP352,
,Generic,bexicaserin,
,Indication,Developmental and Epileptic Encephalopathies,
,Clinical Trials,,
,,"Phase I/II ""PACFIC""",
,,52-week OLE,
,,,58% reduction in seizures over 9 months
