Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,MOA,Approval,Economics,IP,,Price JPY,6936.0,
,Avastin (bevacizumab),Oncology,VEGF mab,,,,,Shares,1645.392637,Q224
,Tecentriq (atezolizumab),Oncology,PD-1 mab,,,,,MC JPY,11412443.330232,
,Perjeta,Oncology,HER2 mab,,,,,Cash JPY,815658.0,Q224
,Alecensa (alectinib),NSCLC,ALK TKI,,,,,Debt JPY,0.0,Q224
,Polivy,NHL,,,,,,EV JPY,10596785.330232,
,Kadcyla,HER2 mBC,HER2 ADC,,,,,,,
,Herceptin,HER2 mBC,HER2 mab,,,,,,,
,Gazyva (obinutuzumab),NHL,CD20 mab,,,,,,,
,Rituxan (rituximab),NHL,CD20 mab,,,,,,,
,Ronapreve,COVID-19,,,,,,,,
,Hemlibra (emicizumab),Hemophilia,,,,,,,,
,Actemra,RA,IL-6 mab,,,,,,,
,Vabysmo (faricimab),AMD,,,,,,,,
,Enspryng (satralizumab),NMOSD,IL-6 mab,,,,,,,
,Edirol,,,,,,,,,
,Mircera,,,,,,,,,
,Evrysdi,,,,,,,,,
,CellCept,,,,,,,,,
,Bonviva,,,,,,,,,
,Oxarol,,,,,,,,,
,,,,Phase,,,,,,
,crovalimab (fka SKY59/RG6107),PNH,C5,,,,,,,
,ipatasertib,,,,,,,,,
,giredestrant,,,,,,,,,
,mosunetuzumab,,,,,,,,,
,pralsetinib,,,,,,,,,
,tiragolumab,,,,,,,,,
,delandistrogene moxeparvovec,,,,,,,,,
,ralmitaront,,,,,,,,,
,RG6330,KRAS G12C,KRAS G12C,,,,,,,
,RG6433,Oncology,SHP2,,,,,,,
,DNOQ52,Celiac Disease,,,,,,,,
,codrituzumab,,,,,,,,,
