Main,Unnamed: 1,Unnamed: 2
,Brand Name,Reyataz
,Generic Name,atazanavir
,Indication,HIV
,IP,5849911 - Antivirally active heterocyclic azahexane derivatives. 12/15/1998 issuance.
,Chemistry,Azahexane derivative.
,Competition,"Kaletra (ABT), Lexiva (GSK), Prezista (JNJ)."
,Developer,Originally developed by NVS?
,Clinical Trials,
