Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
,Units,,,,,,,,,,,,,,2.7,4.4,6.4,8.7,12.4,17.5,19.3,28.1,33.7,37.4,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,458,454,,,239,439,450,450,,,,,,,,,1386.0,1869.0,2079.0,1578.0
,COGS,,,,,251,230,,,185,230,,,,,,,,,,,731.0,947.0,1032.0,
,Gross Profit,,,,,207,224,,,54,209,,,,,,,,,,,655.0,922.0,1047.0,
,R&D,,,,,235,211,,,243,256,,,,,,,,,,,,,,
,S&M,,,,,33,29,,,34,28,,,,,,,,,,,,,,
,G&A,,,,,20,17,,,15,19,,,,,,,,,,,,,,
,Operating Expenses,,,,,288,257,,,292,303,,,,,,,,,,,,,,
,Operating Income,,,,,-81,-33,,,-238,-94,,,,,,,,,,,,,,
,Interest Income,,,,,8,15,,,17,13,,,,,,,,,,,,,,
,Pretax Income,,,,,-73,-18,,,-221,-81,,,,,,,,,,,,,,
,Taxes,,,,,6,10,,,-3,5,,,,,,,,,,,,,,
,Net Income,,,,,-79,-28,,,-218,-86,,,,,,,,,,,,,,
,EPS,,,,,-0.09850374064837905,-0.034782608695652174,,,-0.2704714640198511,-0.10669975186104218,,,,,,,,,,,,,,
,Shares,,,,,802,805,,,806,806,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,171,26,,,40,30,,,,,,,,,,,,,,
,,,,,,-26,-32,,,-22,-24,,,,,,,,,,,,,,
,,,,,,145,-6,,,18,6,,,,,,,,,,,,,,
