Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toyota Production,,,,,,,,,,,,,,,,,,,,,,,,,,2186000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volkswagen Deliveries,,,,,,,,,,,,,,,,,,,,,2041000,2331000,,,2104000,2244000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ford Deliveries,,,,,,,,,,,,,,,,,,,,,,,,,,1142000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GM Deliveries,,,,,,,,,,,,,,,,,,,,,865000,979000,,,895000,1043000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BYD Production,,,,,,,,,,,,,,,,,,,,,,708364,,,,1019718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW Production,,,,,,,,,,,,,,,,,,,,,588138,626726,,,594533,618743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedez-Bens Production,,,,,,,,,,,,,,,,,,,,,,515746,,,,496712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla Production,,,,,,,,,,,,,,,,,,,,439701,440808,479700,430488,494989,433371,410831,,,,,,,,,,,,,,,,,,,,,,1808581.0,1789226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porsche Deliveries,,,,,,,,,,,,,,,,,,,,,,,,,77972.5,77972.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toyota ASP,,,,,,,,,,,,,,,,,,,,,,,,,,34215.3011325993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volkswagen ASP,,,,,,,,,,,,,,,,,,,,,,,,,,39629.23351158646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GM ASP,,,,,,,,,,,,,,,,,,,,,,,,,,42243.52828379674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ford ASP,,,,,,,,,,,,,,,,,,,,,,,,,,37151.488616462346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BYD ASP,,,,,,,,,,,,,,,,,,,,,,,,,,16001.18898418134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW ASP,,,,,,,,,,,,,,,,,,,,,,,,,,51830.88939996089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedez ASP,,,,,,,,,,,,,,,,,,,,,,,,,,62481.27687674146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla ASP,,,,,,,,,,,,,,,,,,,,,,,,,,45103.704442946124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porsche ASP,,,,,,,,,,,,,,,,,,,,,,,,,,111400.31054904887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14313.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FSD Beta,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model S/X Deliveries,,,,,12091,17722,17483,19475,12230,10600,15200,18920,2020,1890,9275,11750,14724,16162,18672,17147,10695,19225,15985,22969,17027,21551,22915,23640,12881,10394,15933,,,,,,,,,,,,,66771.0,56950.0,24935.0,66705.0,68874.0,85133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model 3/Y Deliveries,,,,,50928,77634,79703,92620,76266,80050,124100,161650,182780,199360,232025,296850,295324,238533,325158,388131,412180,446915,419074,461538,369783,422405,439975,471930,323800,373728,481166,,,,,,,,,,,,,300885.0,442066.0,911015.0,1247146.0,1739707.0,1704093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deliveries,,,,,63019,95356,97186,112095,88496,90650,139300,180570,184800,201250,241300,308600,310048,254695,343830,405278,422875,466140,435059,484507,386810,443956,462890,495570,336681,384122,497099,,,,,,,,,,,,,367656.0,499016.0,935950.0,1313851.0,1808581.0,1789226.0,2305475.9,2881844.875,3458213.85,4149856.62,4772335.113,5249568.6243,5512047.055515001,5787649.408290751,6077031.878705289,6380883.4726405535,6699927.646272581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deliveries ASP,,,,,55681.61982894048,54196.90423256009,52805.95970613051,54801.730674873994,55290.6346049539,54175.39988968561,52735.10409188801,47809.713684443705,44301.94805194805,47304.34782608696,47215.084956485705,48687.62151652625,50037.41356177108,53672.039105596894,51726.14373382195,51902.64460444436,44642.03369790127,43804.436435405674,42711.44833229516,42579.36417843292,42553.1914893617,41738.37046914559,40681.371384130136,37651.59311499889,38389.45470638379,41098.92169675259,40955.62453354362,,,,,,,,,,,,,54268.120199316756,51667.681998172404,47144.61242587745,51759.293862089384,43409.16995147024,40509.13635281401,41724.410443398425,42976.14275670038,44265.42703940139,45593.38985058343,46961.191546100934,48370.02729248397,49821.128111258484,51315.76195459624,52855.23481323413,54440.891857631155,56074.11861336009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model S/X Production,,,,,14163,14517,16318,17933,15390,6326,16992,16097,0,2340,8941,13109,14218,16411,19935,20613,19437,19489,13688,18212,20995,24255,26128,22727,17161,13409,11624,,,,,,,,,,,,,62931.0,54805.0,24390.0,71177.0,70826.0,94105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model 3/Y Production,,,,,62975,72531,79837,86958,87282,75946,128044,163660,180338,204081,228882,292731,291189,242169,345988,419088,421371,460211,416800,476777,412376,386576,443668,436718,345454,396835,435826,,,,,,,,,,,,,302301.0,454932.0,906032.0,1298434.0,1775159.0,1679338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production,,,,,77138,87048,96155,104891,102672,82272,145036,179757,180338,206421,237823,305840,305407,258580,365923,439701,440808,479700,430488,494989,433371,410831,469796,459445,362615,410244,447450,,,,,,,,,,,,,365232.0,509737.0,930422.0,1369611.0,1845985.0,1773443.0,2305475.9,2881844.875,3458213.85,4149856.62,4772335.113,5249568.6243,5512047.055515001,5787649.408290751,6077031.878705289,6380883.4726405535,6699927.646272581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Software Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.65696,1750.0091519999996,3409.9518,5438.770592,8094.678828800001,11016.177889280001,13917.757637984,15114.659284324402,16393.454201203884,17759.339461560503,19217.827112449773,20774.762679774063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automotive Product,,,,,3509,5168,5132,6143,4893,4911,7346,8633,8187,9520,11393,15025,15514,13670,17785,21035,18878,20419,18582,20630,16460,18530,18831,18659,12925,15787,20359,,,,,,,,,,,,,19952.0,25783.0,44125.0,68004.0,78509.0,72480.0,96194.62271896338,123850.57675066536,153079.3128638224,189206.03069968446,224114.54336377623,253921.7776311585,274616.40250809793,296997.63931250793,321202.9469164774,347380.9870901703,375692.53753801924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automative Credits,,,,,0,0,0,0,0,0,0,401,518,354,279,314,679,344,286,439.59999999999997,521,282,554,433,442,890,739,692,595,439,417,,,,,,,,,,,,,0.0,401.0,1465.0,1748.6,1790.0,2763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automative Licensing,,,,,215,208,221,225,239,268,265,280,297,332,385,628,668,588,621,879.1999999999999,564,567,489,500,476,458,446,447,447,435,429,,,,,,,,,,,,,869.0,1052.0,1642.0,2756.2,2120.0,1827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automotive Revenue,,,,,3724,5376,5353,6368,5132,5179,7611,9314,9002,10206,12057,15967,16861,14602,18692,22353.8,19963,21268,19625,21563,17378,19878,20016,19798,13967,16661,21205,0,0,0,0,0,,,,,,,,20821.0,27236.0,47232.0,72508.8,82419.0,77070.0,96194.62271896338,123850.57675066536,153079.3128638224,189206.03069968446,224114.54336377623,253921.7776311585,274616.40250809793,296997.63931250793,321202.9469164774,347380.9870901703,375692.53753801924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Energy,,,,,324,369,402,436,293,370,579,752,494,801,806,688,616,866,1117,963.1999999999999,1529,1509,1559,1438,1635,3014,2376,3061,2730,2789,3415,,,,,,,1921.877,3007.012,3740.973,,,,1531.0,1994.0,2789.0,3562.2,6035.0,10086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Services,,,,,493,605,548,580,560,487,581,678,893,951,894,1064,1279,1466,1645,1489.6,1837,2150,2166,2166,2288,2608,2790,2848,2638,3046,3475,,,,,,,91.619,191.344,305.052,,,,2226.0,2306.0,3802.0,5879.6,8319.0,10534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,4541,6350,6303,7384,5985,6036,8771,10744,10389,11958,13757,17719,18756,16934,21454,24806.6,23329,24927,23350,25167,21301,25500,25182,25707,19335,22496,28095,0,0,0,0,0,,2013.4959999999999,3198.356,4046.025,7000.132,11758.751,21461.268,24578.0,31536.0,53823.0,81950.6,96773.0,98206.65696,97944.63187096338,127260.52855066536,158518.08345582237,197300.70952848447,235130.72125305622,267839.5352691425,289731.0617924223,313391.0935137118,338962.2863780379,366598.8142026201,396467.3002177933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automotive Product COGS,,,,,2856,4254,4014,4815,3699,3714,5361,6922,6457,7119,8150,10689,10914,10153,13099,15433,15422,16841,15656,17202,13897,15962,15743,16268,11461,13567,17365,,,,,,,1483.321,,,,,,,,32415.0,49599.0,65121.0,61870.0,76955.6981751707,97841.95563302565,123644.10509554145,151921.54633693304,178699.34815232272,200879.65145185686,217298.29634431674,235043.32013528387,254221.7147835284,274949.1106519651,297350.475163345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Car Gross Margin,,,,,653,914,1118,1328,1194,1197,1985,1711,1730,2401,3243,4336,4600,3517,4686,5602,3456,3578,2926,3428,2563,2568,3088,2391,1464,2220,2994,,,,,,,,,,,,,,,17139.0,18405.0,13388.0,10610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Software COGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automotive Leasing COGS,,,,,117,106,117,119,122,148,145,148,160,188,234,396,408,369,381,352,333,338,301,296,269,245,247,242,239,228,225,,,,,,,,,,,,,,,,1510.0,1268.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Automotive Revenue GM,,,,,751,1016,1222,1434,1311,1317,2105,2244,2385,2899,3673,4882,5539,4080,5212,6568.799999999999,4208,4089,3668,4065,3212,3671,4026,3288,2267,2866,3615,,,,,,,,,,,,,,,,21399.8,16030.0,14197.0,20988.93369579267,29418.572917639714,34873.97836028092,45379.16319155143,56431.3731007335,66959.88381728562,72432.76544810558,78347.77337842796,84740.57159450947,91649.70355065505,99116.82505444833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Energy COGS,,,,,316,326,314,385,282,349,558,787,595,781,803,739,688,769,1013,1151,1361,1231,1178,1124,1232,2274,1651,2289,1945,1943,2342,,,,,,,,,,,,,,,,3621.0,4894.0,7446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Services COGS,,,,,686,743,667,674,648,558,644,821,962,986,910,1048,1286,1410,1579,1605,1702,1984,2037,2107,2207,2441,2544,2729,2537,2880,3109,,,,,,,,,,,,,,,,5880.0,7830.0,9921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,566,921,1191,1391,1234,1267,2063,2066,2215,2884,3660,4847,5460,4233,5382,6265.5999999999985,4511,4533,4178,4438,3696,4578,4997,4179,3153,3878,5054,,,,,,,,,,,,,,,,20487.65,17660.0,17450.0,22738.94284779267,32828.52471763972,40312.74895228092,53473.84202035143,67447.55099001351,80877.64145526962,87547.42473242998,94741.22757963184,102499.91105606998,110867.53066310482,119891.5877342224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,340,324,334,345,324,279,366,522,666,576,611,740,865,667,733,810,771,943,1161,1094,1151,1074,1039,1276,1409,1589,1630,,,,,,,,,,,,,,,,3075.0,3969.0,4540.0,4721.6,4910.464000000001,5106.882560000001,5311.157862400001,5523.604176896001,5744.548343971842,5974.330277730715,6213.303488839944,6461.835628393543,6720.309053529285,6989.121415670456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,704,647,596,699,627,661,888,969,1056,973,994,1494,992,961,961,1792.8,1076,1191,1253,1280,1374,1277,1186,1313,1251,1366,1562,,,,,,,,,,,,,,,,4706.8,4800.0,5150.0,5356.0,5570.24,5793.0496,6024.771584,6265.76244736,6516.3929452544,6777.048663064576,7048.13060958716,7330.055833970646,7623.2580673294715,7928.18839002265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,1044,971,930,1044,951,940,1254,1491,1722,1549,1605,2234,1857,1628,1694,2602.8,1847,2134,2414,2374,2525,2351,2225,2589,2660,2955,3192,,,,,,,,,,,,,,,,7781.8,8769.0,9690.0,10077.6,10480.704000000002,10899.93216,11335.929446400001,11789.366624256001,12260.94128922624,12751.378940795292,13261.434098427104,13791.891462364189,14343.567120858756,14917.309805693107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,-478,-50,261,347,283,327,809,575,493,1335,2055,2613,3603,2605,3688,3662.7999999999984,2664,2399,1764,2064,1171,2227,2772,1590,493,923,1862,,,,,,,,,,,,,,,,12705.850000000002,8891.0,7760.0,12661.34284779267,22347.820717639715,29412.81679228092,42137.91257395143,55658.18436575751,68616.70016604339,74796.0457916347,81479.79348120475,88708.01959370579,96523.96354224606,104974.27792852929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,,,-123,-203,-85,-187,-213,-177,-254,-196,-61,-19,-122,22,23,-42,-52,82,136,538,281,127,382,282,67,941,190,306,363,,,,,,,,,,,,,,,,,1082.0,1672.0,3145.0,4488.539142062377,6769.629730137055,9845.137684542584,14263.696956514574,20207.0568689077,27757.076216878544,36474.091587602175,46500.17181845076,57992.86808848407,71126.79877709613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,-601,-253,176,160,70,150,555,379,432,1316,1933,2635,3626,2563,3636,3744.7999999999984,2800,2937,2045,2191,1553,2509,2839,2531,683,1229,2225,,,,,,,,,,,,,,,,,9973.0,9432.0,15806.34284779267,26836.359859702094,36182.44652241797,51983.05025849401,69921.88132227208,88823.7570349511,102553.12200851324,117953.88506880692,135208.19141215656,154516.83163073013,176101.07670562543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,57,38,33,69,54,46,255,109,95,151,264,314,308,215,305,276,287,234,192,15,424,409,617,396,180,359,570,,,,,,,,,,,,,,,,,728.0,1846.0,2370.9514271689004,4025.4539789553137,5427.366978362696,7797.4575387741015,10488.282198340812,13323.563555242663,15382.968301276986,17693.08276032104,20281.228711823485,23177.52474460952,26415.161505843815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
