Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Brand Name,Singulair,,,,,,,,,
,Generic Name,montelukast,,,,,,,,,
,Economics,"100%, innovated by Merck.",,,,,,,,,
,IP,"5,565,473 issued 10/15/1996. Unsaturated hydroxyalkylquinoline acids as leukotriene antagonists.",,,,,,,,,
,Mechanism,Leukotriene antagonist.,,,,,,,,,
,,,,,,,,,,,
,Model,2002,2003,2004.0,2005E,2006E,2007E,2008E,2009E,2010E,2011E
,US,1090,1414,1854.0,2107.7,2318.47,2550.317,2754.34236,2974.6897488000004,3212.664928704001,3469.678123000321
,ExUS,415,611,768.0,928.4,1021.24,1123.364,1213.23312,1310.2917696000002,1415.1151111680003,1528.3243200614404
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,NRx,TRx,,,,,,,,
,2008-11-07 00:00:00,247362,659474,,,,,,,,
