Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Name,Indication,MOA,Company,,,,,,,Price,33.81,
,DISC-0974,"MF, CKD, PV anemia",,,,,,,,,Shares,19.799357,Q123
,DISC-0998,anemia,,ABBV,,,,,,,MC,669.4162601700001,
,bitopertin ,"EPP, XLP, DBA",GlyT1 inhibitor,ROG,,,,,,,Cash,236.422,Q123
,MWTX-003,iron overload,TMPRSS6 mab,Mabwell,,,,,,,Debt,0,Q123
,,,,,,,,,,,EV,432.9942601700001,
,,,,,,,,,,,,,
,,,,,,,,,,,PIC,367.85,
,,,,,,,,,,,AD,-134.997,
,June 2023: btopertin data,,,,,,,,,,,,
,,,,,,,,,,,Founded,2017-10-01 00:00:00,
