Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Price GBp,13780,Unnamed: 11
,NT-175,solid tumors,,I,TGFBR2 KO armored TCR-T targeting TP53 R175H,,,,,,
,2962,hemonc,,I,IRAK4,,,,,,
,6793,COPD,,I,IRAK4,,,,,,
,4512,R/R NHL,,I,CD22 ADC,,,,,,
,4604,Asthma,,I,"JAK1, inhaled",,,,,,
,3470,cHL,,I,PRMT5,,,,,,
,4360,solid tumors,,,CLDN18.2 ADC,,,,,,
,5492,hemonc,,I,CD20 TITAN TCE,,,,,,
,atuliflapon,Asthma,,II,FLAP,,,,,,
,5863,solid tumors,,I,CLDN18.2xCD3,,,,,,
,6621,prostate cancer,,I,STEAP2 TCE,,,,,,
,0486,"B-Cell ALL, NHL",,,CD19xCD3 BiTE,,,,,,
,6750,solid tumors,,I,CD8-guided IL-2,,,,,,
,7003,HCC,,I,GPC3 CART,,,,,,
,2389,MASH,,II,antifibrotic,,,,,,
,4954,dyslipidemia,,I,Lp(a) inhibitor,,,,,,
,5462,heart failure,,II,RXFP1 agonist,,,,,,
,6234,T2D/Obesity,,II,amylin,SC qw,,,,,
,0305,RRMM,,,GPRC5D ADC,,,,,,
,9550,T2D/Obesity,,II,GLP-1/glucagon,SC qw,,,,,
,5004,T2D/Obesity,Eccogene,II,GLP-1 agonist,Oral,,,,,
,,,,,,,,,,,
,,,,,,January 2008: Filed motavizumab.,,,,,
,,,,,,March 2008: Crestor JUPITER study stopped early for efficacy.,,,,,
,,,,,,July 31 2009: Onglyza approved.,,,,,
,,,,,,Q409: Court case for Seroquel?,,,,,
,,,,,,January 2010: Court case for Nexium.,,,,Alexion,
,,,,,,February 2010: Court case for Crestor.,,,,Synageva,
,,,,,,Q2/Q3 2010: Recentin GBM data.,,,,Portola,
,,,,,,YE 2010: Seroquel XR EMEA decision,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,9/27/22: Koselugo approved in Japan,,,,,
,,,,,,7/25/24: Q224 results,,,,,
