Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120
,Operating Expenses,,,,,22720,18966,19103,19723,18085,18075,18550,18550,22074,,,,,113932.0,80512.0,73260.0,80586.00000000001,88644.60000000002,97509.06000000003,107259.96600000004,117985.96260000006,129784.55886000008,142763.0147460001,157039.31622060013,172743.24784266014,190017.57262692618,209019.3298896188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,-21029,-16236,-16832,-17207,-16585,-16085,-17346,-17290,-21632,,,,,-103703.0,-71304.0,-67306.0,-64859.70000000001,-58764.63000000003,-40737.11700000004,606.7256999999372,86960.75162999993,259614.19817699984,363455.36940209975,501044.5831719297,682765.8213676286,922144.2173464494,1236790.9970757696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,-180,-375,-210,62,16,249,493,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,-21209,-16611,-17042,-17145,-16569,-15836,-16853,-16797,-21632,,,,,-103703.0,-71304.0,-67306.0,-64859.70000000001,-58764.63000000003,-40737.11700000004,606.7256999999372,86960.75162999993,259614.19817699984,363455.36940209975,501044.5831719297,682765.8213676286,922144.2173464494,1236790.9970757696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,36345.536940209975,50104.45831719297,68276.58213676287,92214.42173464494,123679.09970757697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,-21209,-16611,-17042,-17145,-16569,-15836,-16853,-16797,-21632,,,,,-103703.0,-71304.0,-67306.0,-64859.70000000001,-58764.63000000003,-40737.11700000004,606.7256999999372,86960.75162999993,259614.19817699984,327109.8324618898,450940.1248547367,614489.2392308657,829929.7956118045,1113111.8973681927,1101980.7783945107,1090960.9706105655,1080051.3609044598,1069250.8472954151,1058558.338822461,1047972.7554342364,1037493.027879894,1027118.0976010951,1016846.9166250841,1006678.4474588332,996611.6629842449,986645.5463544024,976779.0908908584,967011.2999819499,957341.1869821304,947767.7751123091,938290.097361186,928907.1963875742,919618.1244236984,910421.9431794614,901317.7237476668,892304.5465101901,883381.5010450882,874547.6860346373,865802.2091742909,857144.1870825479,848572.7452117224,840087.0177596052,831686.1475820091,823369.286106189,815135.5932451271,806984.2373126758,798914.394939549,790925.2509901535,783015.998480252,775185.8384954495,767433.980110495,759759.64030939,752162.0439062961,744640.4234672332,737194.0192325609,729822.0790402353,722523.8582498329,715298.6196673346,708145.6334706612,701064.1771359546,694053.535364595,687113.0000109491,680241.8700108395,673439.4513107311,666705.0567976238,660038.0062296476,653437.626167351,646903.2499056775,640434.2174066207,634029.8752325545,627689.5764802289,621412.6807154266,615198.5539082723,609046.5683691896,602956.1026854977,596926.5416586427,590957.2762420563,585047.7034796358,579197.2264448394,573405.254180391,567671.201638587,561994.4896222012,556374.5447259792,550810.7992787195,545302.6912859323,539849.664373073,534451.1677293422,529106.6560520488,523815.5894915283,518577.433596613,513391.65926064685,508257.7426680404,503175.16524135997,498143.41358894634,493161.9794530569,488230.3596585263,483348.056061941,478514.5755013216,473729.42974630836,468992.1354488453,464302.2140943568,459659.19195341325
,EPS,,,,,-0.16997387359951274,-0.12925339454538382,-0.12730641088850045,,-0.10911066477890093,-0.09212171980710052,-0.08945851403213563,-0.05998928571428572,-0.07172532701138945,,,,,,,-0.3076868219378976,-0.23164178571428576,-0.20987367857142866,-0.1454897035714287,0.0021668774999997757,0.31057411296428544,0.9271935649178565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,124778,128515,133866,,151855,171903,188389,280000,301595,,,,,,,218748.4,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.3866424352567015,-0.07243763149984972,-0.2341384863123993,-0.2533333333333333,-0.5176933158584535,0,0,0,,,,,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.9000000000000001,0.9000000000000001,0.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
